Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredRASPositions
KF667823,1,82.045,1b,93.427,150-321,Yes,150;159;206;282;316;320;321
KF667824,1,81.020,1b,92.331,150-321,Yes,150;159;206;282;316;320;321
KF667825,1,81.581,1b,92.635,150-321,Yes,150;159;206;282;316;320;321
KF667826,1,81.873,1b,92.575,150-321,Yes,150;159;206;282;316;320;321
KF667827,1,81.497,1b,93.001,150-321,Yes,150;159;206;282;316;320;321
KF667828,1,81.934,1b,93.061,150-321,Yes,150;159;206;282;316;320;321
KF667829,1,81.658,1b,92.626,150-321,Yes,150;159;206;282;316;320;321
KF667830,1,81.658,1b,92.931,150-321,Yes,150;159;206;282;316;320;321
KF667831,1,82.123,1b,91.763,150-321,Yes,150;159;206;282;316;320;321
KF667832,1,82.654,1b,92.514,150-321,Yes,150;159;206;282;316;320;321
KF667833,1,81.204,1b,91.905,150-321,Yes,150;159;206;282;316;320;321
KF667834,1,82.299,1b,92.392,150-321,Yes,150;159;206;282;316;320;321
KF667835,1,82.056,1b,92.514,150-321,Yes,150;159;206;282;316;320;321
KF667836,1,81.326,1b,92.879,150-321,Yes,150;159;206;282;316;320;321
KF667837,1,81.619,1b,92.575,150-321,Yes,150;159;206;282;316;320;321
KF667838,1,81.984,1d,87.462,150-321,Yes,150;159;206;282;316;320;321
KF667839,1,81.862,1b,92.331,150-321,Yes,150;159;206;282;316;320;321
KF667840,1,82.421,1b,92.757,150-321,Yes,150;159;206;282;316;320;321
KF667841,1,82.167,1b,93.609,150-321,Yes,150;159;206;282;316;320;321
KF667842,1,81.010,1b,92.270,150-321,Yes,150;159;206;282;316;320;321
KF667843,1,82.410,1b,93.122,150-321,Yes,150;159;206;282;316;320;321
KF667844,1,82.045,1b,92.696,150-321,Yes,150;159;206;282;316;320;321
KF667845,1,82.471,1b,92.270,150-321,Yes,150;159;206;282;316;320;321
KF667846,1,81.995,1b,91.844,150-321,Yes,150;159;206;282;316;320;321
KF667847,1,81.436,1b,91.722,150-321,Yes,150;159;206;282;316;320;321
KF667848,1,81.497,1b,93.244,150-321,Yes,150;159;206;282;316;320;321
KF667849,1,81.680,1b,92.818,150-321,Yes,150;159;206;282;316;320;321
PX091934,2,92.360,2a,93.251,150-321,Yes,150;159;206;282;316;320;321
PX091935,1,81.968,1b,92.756,150-321,Yes,150;159;206;282;316;320;321
PX091936,3,95.076,3a,94.058,150-321,Yes,150;159;206;282;316;320;321
KJ148617,2,78.036,2l,93.742,150-321,Yes,150;159;206;282;316;320;321
KJ148618,2,77.972,2l,92.720,150-321,Yes,150;159;206;282;316;320;321
KJ437271,1,93.947,1a,93.318,150-321,Yes,150;159;206;282;316;320;321
KJ437279,1,93.711,1a,93.082,150-321,Yes,150;159;206;282;316;320;321
KJ437295,1,82.131,1b,92.724,150-321,Yes,150;159;206;282;316;320;321
KJ437307,3,96.335,3a,94.889,150-321,Yes,150;159;206;282;316;320;321
KJ437311,3,95.238,3a,93.416,150-321,Yes,150;159;206;282;316;320;321
KJ437313,3,95.956,3a,93.807,150-321,Yes,150;159;206;282;316;320;321
KJ437314,3,94.781,3a,92.699,150-321,Yes,150;159;206;282;316;320;321
KJ437318,3,96.608,3a,94.133,150-321,Yes,150;159;206;282;316;320;321
KJ437327,3,95.825,3a,94.329,150-321,Yes,150;159;206;282;316;320;321
KJ439767,1,83.813,1c,94.977,150-321,Yes,150;159;206;282;316;320;321
KJ439768,1,82.516,1d,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439769,1,83.587,1e,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439770,1,82.403,1g,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439771,1,80.767,1h,94.698,150-321,Yes,150;159;206;282;316;320;321
KJ439772,1,81.951,1i,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439773,1,86.069,1j,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439774,1,85.336,1k,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439775,1,86.069,1n,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439776,1,81.839,1l,89.114,150-321,Yes,150;159;206;282;316;320;321
KJ439777,1,84.884,1k,88.000,150-321,Yes,150;159;206;282;316;320;321
KJ439778,1,85.939,1m,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439779,1,83.991,1o,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439780,1,86.817,1m,86.640,150-321,Yes,150;159;206;282;316;320;321
KJ439781,1,86.061,1n,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ439782,1,86.366,1m,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ470612,3,95.037,3a,94.698,150-321,Yes,150;159;206;282;316;320;321
KJ470613,3,96.219,3a,96.280,150-321,Yes,150;159;206;282;316;320;321
KJ470614,3,96.953,3a,95.096,150-321,Yes,150;159;206;282;316;320;321
KJ470615,3,95.485,3a,95.039,150-321,Yes,150;159;206;282;316;320;321
KJ470616,3,83.080,3b,92.156,150-321,Yes,150;159;206;282;316;320;321
KJ470617,3,83.362,3b,91.765,150-321,Yes,150;159;206;282;316;320;321
KJ470618,3,83.362,3e,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ470619,3,85.214,3d,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ470620,6,75.817,6g,85.204,150-321,Yes,150;159;206;282;316;320;321
KJ470621,6,76.255,6g,86.395,150-321,Yes,150;159;206;282;316;320;321
KJ470622,6,76.268,6g,86.735,150-321,Yes,150;159;206;282;316;320;321
KJ470623,6,74.717,6g,82.360,150-321,Yes,150;159;206;282;316;320;321
KJ470624,6,76.169,6g,85.034,150-321,Yes,150;159;206;282;316;320;321
KJ470625,6,75.113,6g,82.899,150-321,Yes,150;159;206;282;316;320;321
KJ529536,1,95.375,1a,94.642,150-321,Yes,150;159;206;282;316;320;321
KJ529537,1,95.375,1a,94.924,150-321,Yes,150;159;206;282;316;320;321
KJ529538,1,94.529,1a,93.570,150-321,Yes,150;159;206;282;316;320;321
KJ529539,1,81.726,1b,92.611,150-321,Yes,150;159;206;282;316;320;321
KJ529540,1,80.813,1b,92.781,150-321,Yes,150;159;206;282;316;320;321
KJ529541,1,96.447,1a,95.770,150-321,Yes,150;159;206;282;316;320;321
KJ529542,1,95.883,1a,95.149,150-321,Yes,150;159;206;282;316;320;321
KJ529543,1,94.698,1a,94.191,150-321,Yes,150;159;206;282;316;320;321
KJ529544,1,94.413,1a,93.510,150-321,Yes,150;159;206;282;316;320;321
KJ529545,1,93.852,1a,93.852,150-321,Yes,150;159;206;282;316;320;321
KJ529546,1,81.218,1b,93.401,150-321,Yes,150;159;206;282;316;320;321
KJ529548,1,81.613,1b,91.653,150-321,Yes,150;159;206;282;316;320;321
KJ529549,1,93.457,1a,93.006,150-321,Yes,150;159;206;282;316;320;321
KJ529550,1,81.060,1b,92.386,150-321,Yes,150;159;206;282;316;320;321
KJ529551,1,81.716,1b,92.325,150-321,Yes,150;159;206;282;316;320;321
KJ529553,1,94.529,1a,94.191,150-321,Yes,150;159;206;282;316;320;321
KJ529554,1,94.074,1a,93.228,150-321,Yes,150;159;206;282;316;320;321
KJ529555,1,94.360,1a,93.627,150-321,Yes,150;159;206;282;316;320;321
KJ529556,1,82.290,1b,93.119,150-321,Yes,150;159;206;282;316;320;321
KJ529557,1,93.683,1a,93.119,150-321,Yes,150;159;206;282;316;320;321
KJ529560,1,81.444,1b,92.386,150-321,Yes,150;159;206;282;316;320;321
KJ529561,1,81.839,1b,92.442,150-321,Yes,150;159;206;282;316;320;321
KJ529562,1,92.381,1a,92.043,150-321,Yes,150;159;206;282;316;320;321
KJ529564,1,94.416,1a,94.078,150-321,Yes,150;159;206;282;316;320;321
KJ529565,1,93.059,1a,93.172,150-321,Yes,150;159;206;282;316;320;321
KJ529566,1,94.416,1a,93.683,150-321,Yes,150;159;206;282;316;320;321
KJ529569,1,81.782,1b,92.668,150-321,Yes,150;159;206;282;316;320;321
KJ529570,1,94.924,1a,94.585,150-321,Yes,150;159;206;282;316;320;321
KJ529572,1,96.221,1a,95.488,150-321,Yes,150;159;206;282;316;320;321
KJ529573,1,93.175,1a,92.442,150-321,Yes,150;159;206;282;316;320;321
KJ529574,1,93.172,1a,92.946,150-321,Yes,150;159;206;282;316;320;321
KJ529575,1,93.514,1a,93.401,150-321,Yes,150;159;206;282;316;320;321
KJ529576,1,93.002,1a,92.833,150-321,Yes,150;159;206;282;316;320;321
KJ529579,1,81.500,1b,92.555,150-321,Yes,150;159;206;282;316;320;321
KJ529581,1,94.360,1a,94.303,150-321,Yes,150;159;206;282;316;320;321
KJ529582,1,82.290,1b,92.611,150-321,Yes,150;159;206;282;316;320;321
KJ529583,1,82.413,1b,92.611,150-321,Yes,150;159;206;282;316;320;321
KJ529584,1,94.924,1a,94.416,150-321,Yes,150;159;206;282;316;320;321
KJ529585,1,95.770,1a,95.206,150-321,Yes,150;159;206;282;316;320;321
KJ529586,1,95.093,1a,94.360,150-321,Yes,150;159;206;282;316;320;321
KJ529587,1,81.782,1b,93.514,150-321,Yes,150;159;206;282;316;320;321
KJ529590,1,94.078,1a,93.457,150-321,Yes,150;159;206;282;316;320;321
KJ529591,1,95.655,1a,95.993,150-321,Yes,150;159;206;282;316;320;321
KJ529592,1,95.601,1a,95.149,150-321,Yes,150;159;206;282;316;320;321
KJ529595,1,96.616,1a,95.677,150-321,Yes,150;159;206;282;316;320;321
KJ529596,1,94.360,1a,93.683,150-321,Yes,150;159;206;282;316;320;321
KJ529597,1,95.319,1a,94.698,150-321,Yes,150;159;206;282;316;320;321
KJ529600,1,92.837,1a,92.442,150-321,Yes,150;159;206;282;316;320;321
KJ529601,1,93.965,1a,93.457,150-321,Yes,150;159;206;282;316;320;321
KJ529602,1,82.459,1b,93.514,150-321,Yes,150;159;206;282;316;320;321
KJ529603,1,95.939,1a,95.431,150-321,Yes,150;159;206;282;316;320;321
KJ529604,1,92.217,1a,91.596,150-321,Yes,150;159;206;282;316;320;321
KJ529605,1,93.570,1a,93.514,150-321,Yes,150;159;206;282;316;320;321
KJ529607,1,94.755,1a,94.473,150-321,Yes,150;159;206;282;316;320;321
KJ529608,1,93.567,1a,93.228,150-321,Yes,150;159;206;282;316;320;321
KJ529609,1,94.303,1a,93.514,150-321,Yes,150;159;206;282;316;320;321
KJ529610,1,95.431,1a,94.980,150-321,Yes,150;159;206;282;316;320;321
KJ529611,1,96.163,1a,95.372,150-321,Yes,150;159;206;282;316;320;321
KJ529612,1,96.729,1a,96.390,150-321,Yes,150;159;206;282;316;320;321
KJ529616,1,92.156,1a,91.761,150-321,Yes,150;159;206;282;316;320;321
KJ529618,1,82.469,1b,92.607,150-321,Yes,150;159;206;282;316;320;321
KJ529619,1,93.063,1a,92.668,150-321,Yes,150;159;206;282;316;320;321
KJ529620,1,81.218,1b,91.540,150-321,Yes,150;159;206;282;316;320;321
KJ529621,1,95.995,1a,95.051,150-321,Yes,150;159;206;282;316;320;321
KJ529623,1,80.327,1b,91.874,150-321,Yes,150;159;206;282;316;320;321
KJ529624,1,94.811,1a,94.416,150-321,Yes,150;159;206;282;316;320;321
KJ529626,1,81.793,1b,92.893,150-321,Yes,150;159;206;282;316;320;321
KJ529627,1,93.852,1a,93.006,150-321,Yes,150;159;206;282;316;320;321
KJ529629,1,93.965,1a,94.021,150-321,Yes,150;159;206;282;316;320;321
KJ529630,1,95.431,1a,94.698,150-321,Yes,150;159;206;282;316;320;321
KJ529631,1,82.008,1b,92.893,150-321,Yes,150;159;206;282;316;320;321
KJ529632,1,81.905,1b,92.893,150-321,Yes,150;159;206;282;316;320;321
KJ529633,1,93.172,1a,93.059,150-321,Yes,150;159;206;282;316;320;321
KJ529634,1,82.459,1b,92.950,150-321,Yes,150;159;206;282;316;320;321
KJ529636,1,93.006,1a,92.386,150-321,Yes,150;159;206;282;316;320;321
KJ529638,1,95.488,1a,94.811,150-321,Yes,150;159;206;282;316;320;321
KJ529639,1,93.679,1a,93.115,150-321,Yes,150;159;206;282;316;320;321
KJ529640,1,96.221,1a,95.657,150-321,Yes,150;159;206;282;316;320;321
KJ529641,1,82.028,1b,93.115,150-321,Yes,150;159;206;282;316;320;321
KJ529642,1,94.187,1a,93.567,150-321,Yes,150;159;206;282;316;320;321
KJ529644,1,82.572,1b,93.401,150-321,Yes,150;159;206;282;316;320;321
KJ529645,1,82.403,1b,92.104,150-321,Yes,150;159;206;282;316;320;321
KJ529646,1,94.980,1a,95.319,150-321,Yes,150;159;206;282;316;320;321
KJ529649,1,96.334,1a,95.431,150-321,Yes,150;159;206;282;316;320;321
KJ529650,1,82.516,1b,92.724,150-321,Yes,150;159;206;282;316;320;321
KJ529651,1,95.149,1a,94.653,150-321,Yes,150;159;206;282;316;320;321
KJ529652,1,96.334,1a,95.826,150-321,Yes,150;159;206;282;316;320;321
KJ529653,1,93.683,1a,93.288,150-321,Yes,150;159;206;282;316;320;321
KJ529654,1,82.346,1b,93.345,150-321,Yes,150;159;206;282;316;320;321
KJ529656,1,93.345,1a,92.781,150-321,Yes,150;159;206;282;316;320;321
KJ529657,1,95.093,1a,94.698,150-321,Yes,150;159;206;282;316;320;321
KJ529658,1,95.037,1a,94.529,150-321,Yes,150;159;206;282;316;320;321
KJ529659,1,95.090,1a,94.482,150-321,Yes,150;159;206;282;316;320;321
KJ529660,1,81.049,1b,91.991,150-321,Yes,150;159;206;282;316;320;321
KJ529661,1,94.134,1a,93.796,150-321,Yes,150;159;206;282;316;320;321
KJ529664,1,82.290,1b,93.063,150-321,Yes,150;159;206;282;316;320;321
KJ529665,1,81.782,1b,92.777,150-321,Yes,150;159;206;282;316;320;321
KJ529668,1,82.346,1b,92.499,150-321,Yes,150;159;206;282;316;320;321
KJ529670,1,82.008,1b,92.837,150-321,Yes,150;159;206;282;316;320;321
KJ529671,1,81.669,1b,92.438,150-321,Yes,150;159;206;282;316;320;321
KJ529672,1,94.191,1a,93.852,150-321,Yes,150;159;206;282;316;320;321
KJ529674,1,82.064,1b,92.837,150-321,Yes,150;159;206;282;316;320;321
KJ529675,1,95.939,1a,95.037,150-321,Yes,150;159;206;282;316;320;321
KJ529677,1,82.121,1b,92.781,150-321,Yes,150;159;206;282;316;320;321
KJ529680,1,93.457,1a,93.514,150-321,Yes,150;159;206;282;316;320;321
KJ529681,1,80.756,1b,91.196,150-321,Yes,150;159;206;282;316;320;321
KJ529684,1,92.893,1a,92.668,150-321,Yes,150;159;206;282;316;320;321
KJ529685,1,82.280,1b,92.837,150-321,Yes,150;159;206;282;316;320;321
KJ529686,1,94.191,1a,93.457,150-321,Yes,150;159;206;282;316;320;321
KJ529687,1,95.939,1a,95.488,150-321,Yes,150;159;206;282;316;320;321
KJ529688,1,93.175,1a,92.781,150-321,Yes,150;159;206;282;316;320;321
KJ529690,1,81.398,1b,92.724,150-321,Yes,150;159;206;282;316;320;321
KJ529691,1,94.698,1a,94.134,150-321,Yes,150;159;206;282;316;320;321
KJ529692,1,94.191,1a,93.683,150-321,Yes,150;159;206;282;316;320;321
KJ529693,1,93.134,1a,92.438,150-321,Yes,150;159;206;282;316;320;321
KJ529695,1,94.811,1a,94.360,150-321,Yes,150;159;206;282;316;320;321
KJ529696,1,93.852,1a,93.683,150-321,Yes,150;159;206;282;316;320;321
KJ529697,1,94.328,1a,93.532,150-321,Yes,150;159;206;282;316;320;321
KJ529698,1,81.839,1b,92.668,150-321,Yes,150;159;206;282;316;320;321
KJ529700,1,81.726,1b,92.442,150-321,Yes,150;159;206;282;316;320;321
KJ529703,1,82.967,1b,93.063,150-321,Yes,150;159;206;282;316;320;321
KJ529704,1,93.830,1a,93.384,150-321,Yes,150;159;206;282;316;320;321
KJ567644,6,76.110,6xi,86.625,150-321,Yes,150;159;206;282;316;320;321
KJ567645,6,75.479,6xb,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ567646,6,75.887,6xf,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ567647,6,76.225,6xf,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ567648,6,76.298,6xf,81.144,150-321,Yes,150;159;206;282;316;320;321
KJ567649,6,75.845,6xc,88.095,150-321,Yes,150;159;206;282;316;320;321
KJ567650,6,75.845,6xc,87.925,150-321,Yes,150;159;206;282;316;320;321
KJ567651,6,75.901,6xc,100.000,150-321,Yes,150;159;206;282;316;320;321
KJ567652,6,76.113,6e,85.110,150-321,Yes,150;159;206;282;316;320;321
KJ678744,6,82.995,6a,96.082,150-321,Yes,150;159;206;282;316;320;321
KJ678745,6,83.052,6a,96.140,150-321,Yes,150;159;206;282;316;320;321
KJ678746,6,83.333,6a,96.433,150-321,Yes,150;159;206;282;316;320;321
KJ678747,6,83.399,6a,97.250,150-321,Yes,150;159;206;282;316;320;321
KJ678748,6,83.192,6a,96.491,150-321,Yes,150;159;206;282;316;320;321
KJ678749,6,83.502,6a,96.842,150-321,Yes,150;159;206;282;316;320;321
KJ678750,6,83.136,6a,96.433,150-321,Yes,150;159;206;282;316;320;321
KJ678751,6,83.502,6a,96.901,150-321,Yes,150;159;206;282;316;320;321
KJ678752,6,83.333,6a,96.608,150-321,Yes,150;159;206;282;316;320;321
KJ678753,6,83.615,6a,96.842,150-321,Yes,150;159;206;282;316;320;321
KJ678755,6,83.390,6a,96.784,150-321,Yes,150;159;206;282;316;320;321
KJ678756,6,83.587,6a,95.731,150-321,Yes,150;159;206;282;316;320;321
KJ678757,6,83.362,6a,96.842,150-321,Yes,150;159;206;282;316;320;321
KJ678758,6,83.108,6a,96.140,150-321,Yes,150;159;206;282;316;320;321
KJ678759,6,83.446,6a,96.374,150-321,Yes,150;159;206;282;316;320;321
KJ678760,6,83.418,6a,96.433,150-321,Yes,150;159;206;282;316;320;321
KJ678761,6,82.827,6a,96.901,150-321,Yes,150;159;206;282;316;320;321
KJ678762,6,83.437,6a,96.491,150-321,Yes,150;159;206;282;316;320;321
KJ678763,6,83.615,6a,96.374,150-321,Yes,150;159;206;282;316;320;321
KJ678764,6,83.192,6a,95.614,150-321,Yes,150;159;206;282;316;320;321
KJ678765,6,83.249,6a,96.959,150-321,Yes,150;159;206;282;316;320;321
KJ678766,6,82.883,6a,96.316,150-321,Yes,150;159;206;282;316;320;321
KJ678767,6,83.164,6a,95.088,150-321,Yes,150;159;206;282;316;320;321
KJ678769,6,82.939,6a,94.854,150-321,Yes,150;159;206;282;316;320;321
KJ678770,6,82.883,6a,95.029,150-321,Yes,150;159;206;282;316;320;321
KJ678771,6,82.883,6a,96.725,150-321,Yes,150;159;206;282;316;320;321
KJ678772,6,83.644,6a,94.678,150-321,Yes,150;159;206;282;316;320;321
KJ678773,6,83.427,6a,95.789,150-321,Yes,150;159;206;282;316;320;321
KJ678774,6,83.277,6a,95.263,150-321,Yes,150;159;206;282;316;320;321
KJ678775,6,82.489,6a,93.743,150-321,Yes,150;159;206;282;316;320;321
KJ678776,6,83.587,6a,95.497,150-321,Yes,150;159;206;282;316;320;321
KJ678777,6,83.099,6a,95.146,150-321,Yes,150;159;206;282;316;320;321
KJ678778,6,83.700,6a,95.380,150-321,Yes,150;159;206;282;316;320;321
KJ678779,6,83.108,6a,95.439,150-321,Yes,150;159;206;282;316;320;321
KJ678780,6,83.465,6a,94.152,150-321,Yes,150;159;206;282;316;320;321
KJ678781,6,83.221,6a,96.784,150-321,Yes,150;159;206;282;316;320;321
KJ678782,6,83.953,6a,96.023,150-321,Yes,150;159;206;282;316;320;321
KJ678783,6,82.658,6a,95.673,150-321,Yes,150;159;206;282;316;320;321
KJ678784,6,83.446,6a,96.667,150-321,Yes,150;159;206;282;316;320;321
KJ678785,6,83.108,6a,96.491,150-321,Yes,150;159;206;282;316;320;321
KJ678787,6,82.658,6a,95.205,150-321,Yes,150;159;206;282;316;320;321
KJ678788,6,81.951,6a,92.632,150-321,Yes,150;159;206;282;316;320;321
KJ678789,6,83.390,6a,95.614,150-321,Yes,150;159;206;282;316;320;321
KJ678790,6,83.926,6a,92.865,150-321,Yes,150;159;206;282;316;320;321
KJ678791,6,83.549,6a,93.743,150-321,Yes,150;159;206;282;316;320;321
KJ678792,6,82.883,6a,94.620,150-321,Yes,150;159;206;282;316;320;321
KJ678793,6,82.883,6a,93.918,150-321,Yes,150;159;206;282;316;320;321
KJ678794,6,83.671,6a,95.088,150-321,Yes,150;159;206;282;316;320;321
KJ678795,6,82.798,6a,95.205,150-321,Yes,150;159;206;282;316;320;321
KJ678796,6,83.333,6a,93.684,150-321,Yes,150;159;206;282;316;320;321
KJ678797,6,83.126,6a,94.386,150-321,Yes,150;159;206;282;316;320;321
KJ678798,6,83.858,6a,94.094,150-321,Yes,150;159;206;282;316;320;321
KJ678799,6,81.895,6a,93.450,150-321,Yes,150;159;206;282;316;320;321
KJ678801,6,82.741,6a,93.450,150-321,Yes,150;159;206;282;316;320;321
KJ678802,6,83.324,6a,94.503,150-321,Yes,150;159;206;282;316;320;321
KJ678803,6,83.070,6a,93.801,150-321,Yes,150;159;206;282;316;320;321
KJ678805,6,83.192,6a,93.626,150-321,Yes,150;159;206;282;316;320;321
KJ678806,6,84.038,6a,94.327,150-321,Yes,150;159;206;282;316;320;321
KJ678807,6,82.601,6a,93.743,150-321,Yes,150;159;206;282;316;320;321
KJ678808,6,83.926,6a,93.567,150-321,Yes,150;159;206;282;316;320;321
KJ678809,6,83.277,6a,94.678,150-321,Yes,150;159;206;282;316;320;321
KJ678810,6,83.446,6a,93.860,150-321,Yes,150;159;206;282;316;320;321
KJ678811,6,83.671,6a,95.614,150-321,Yes,150;159;206;282;316;320;321
KJ678812,6,83.108,6a,94.269,150-321,Yes,150;159;206;282;316;320;321
KJ678813,6,83.052,6a,95.673,150-321,Yes,150;159;206;282;316;320;321
KJ678814,6,82.910,6a,95.848,150-321,Yes,150;159;206;282;316;320;321
KJ678815,6,83.502,6a,97.135,150-321,Yes,150;159;206;282;316;320;321
KJ678816,6,83.249,6a,95.322,150-321,Yes,150;159;206;282;316;320;321
KJ678817,6,83.512,6a,96.140,150-321,Yes,150;159;206;282;316;320;321
KM252779,6,75.393,6e,90.468,150-321,Yes,150;159;206;282;316;320;321
KM252780,6,76.000,6e,93.100,150-321,Yes,150;159;206;282;316;320;321
KM252781,6,75.759,6e,90.863,150-321,Yes,150;159;206;282;316;320;321
KM252782,6,75.241,6h,94.360,150-321,Yes,150;159;206;282;316;320;321
KM252783,6,74.816,6h,94.078,150-321,Yes,150;159;206;282;316;320;321
KM252784,6,75.226,6h,95.260,150-321,Yes,150;159;206;282;316;320;321
KM252785,6,76.166,6p,92.724,150-321,Yes,150;159;206;282;316;320;321
KM252786,6,76.394,6r,95.657,150-321,Yes,150;159;206;282;316;320;321
KM252787,6,76.131,6s,95.465,150-321,Yes,150;159;206;282;316;320;321
KM252789,6,87.472,6xd,100.000,150-321,Yes,150;159;206;282;316;320;321
KM252790,6,86.633,6xd,100.000,150-321,Yes,150;159;206;282;316;320;321
KM252791,6,87.260,6xd,88.824,150-321,Yes,150;159;206;282;316;320;321
KM252792,6,75.408,6xe,100.000,150-321,Yes,150;159;206;282;316;320;321
KM252793,6,75.521,6d,86.464,150-321,Yes,150;159;206;282;316;320;321
KM252794,6,74.915,6i,82.731,150-321,Yes,150;159;206;282;316;320;321
KM252795,6,75.213,6j,87.754,150-321,Yes,150;159;206;282;316;320;321
KM252797,6,75.562,6c,81.038,150-321,Yes,150;159;206;282;316;320;321
KM252798,6,75.322,6xf,81.782,150-321,Yes,150;159;206;282;316;320;321
KM252799,6,82.910,6xd,82.924,150-321,Yes,150;159;206;282;316;320;321
KM252800,6,75.141,6q,84.507,150-321,Yes,150;159;206;282;316;320;321
KM277568,1,82.060,1b,92.473,150-321,Yes,150;159;206;282;316;320;321
KM277569,1,81.751,1b,91.929,150-321,Yes,150;159;206;282;316;320;321
KM277570,1,82.216,1b,93.209,150-321,Yes,150;159;206;282;316;320;321
KM277572,1,81.087,1b,92.186,150-321,Yes,150;159;206;282;316;320;321
KM277573,1,80.800,1b,91.840,150-321,Yes,150;159;206;282;316;320;321
KM277574,1,82.117,1b,92.699,150-321,Yes,150;159;206;282;316;320;321
KM277575,1,82.022,1b,92.422,150-321,Yes,150;159;206;282;316;320;321
KM277576,1,81.076,1b,92.635,150-321,Yes,150;159;206;282;316;320;321
KM277577,1,82.015,1b,92.995,150-321,Yes,150;159;206;282;316;320;321
KM277578,1,82.232,1b,92.369,150-321,Yes,150;159;206;282;316;320;321
KM277579,1,81.754,1b,92.702,150-321,Yes,150;159;206;282;316;320;321
KM277580,1,81.570,1b,92.829,150-321,Yes,150;159;206;282;316;320;321
KM277581,1,82.569,1b,93.492,150-321,Yes,150;159;206;282;316;320;321
KM504109,6,75.676,6xg,85.504,150-321,Yes,150;159;206;282;316;320;321
KM504110,6,76.239,6f,96.447,150-321,Yes,150;159;206;282;316;320;321
KM504111,6,76.927,6c,82.449,150-321,Yes,150;159;206;282;316;320;321
KM504112,6,77.302,6o,77.595,235-321,,282;316;320;321
KM504113,6,76.126,6r,95.488,150-321,Yes,150;159;206;282;316;320;321
KM504114,6,75.099,6q,86.444,150-321,Yes,150;159;206;282;316;320;321
KM504115,6,76.163,6q,94.777,150-321,Yes,150;159;206;282;316;320;321
KM504116,6,75.775,6q,94.425,150-321,Yes,150;159;206;282;316;320;321
KM504117,6,76.464,6q,84.539,150-321,Yes,150;159;206;282;316;320;321
KM504118,6,76.421,6xf,83.249,150-321,Yes,150;159;206;282;316;320;321
KM504119,6,75.184,6h,87.754,150-321,Yes,150;159;206;282;316;320;321
KM504120,6,75.478,6q,85.924,150-321,Yes,150;159;206;282;316;320;321
KM504121,6,75.409,6c,81.962,150-321,Yes,150;159;206;282;316;320;321
KM504122,6,74.463,6h,93.679,150-321,Yes,150;159;206;282;316;320;321
KM504123,6,75.438,6s,95.125,150-321,Yes,150;159;206;282;316;320;321
KM504124,6,77.278,6c,93.852,150-321,Yes,150;159;206;282;316;320;321
KM874786,1,95.087,1a,94.308,150-321,Yes,150;159;206;282;316;320;321
KR108465,3,95.455,3a,92.019,150-321,Yes,150;159;206;282;316;320;321
KX621422,1,95.271,1a,94.513,150-321,Yes,150;159;206;282;316;320;321
KX621425,1,93.041,1a,92.632,150-321,Yes,150;159;206;282;316;320;321
KX621426,3,95.956,3a,93.611,150-321,Yes,150;159;206;282;316;320;321
KX621428,3,95.303,3a,93.481,150-321,Yes,150;159;206;282;316;320;321
KX621429,3,96.021,3a,94.263,150-321,Yes,150;159;206;282;316;320;321
KX621431,3,95.303,3a,94.263,150-321,Yes,150;159;206;282;316;320;321
KX621432,3,95.564,3a,94.003,150-321,Yes,150;159;206;282;316;320;321
KX621433,3,94.390,3a,93.216,150-321,Yes,150;159;206;282;316;320;321
KX621434,3,95.499,3a,93.872,150-321,Yes,150;159;206;282;316;320;321
KX621436,1,93.870,1a,93.579,150-321,Yes,150;159;206;282;316;320;321
KX621437,1,93.337,1a,92.925,150-321,Yes,150;159;206;282;316;320;321
KX621438,1,95.798,1a,95.584,150-321,Yes,150;159;206;282;316;320;321
KX621439,1,95.855,1a,95.155,150-321,Yes,150;159;206;282;316;320;321
KX621441,3,93.999,3a,92.699,150-321,Yes,150;159;206;282;316;320;321
KX621443,1,97.721,1a,97.151,150-321,Yes,150;159;206;282;316;320;321
KX621444,1,97.575,1a,96.758,150-321,Yes,150;159;206;282;316;320;321
KX621445,1,94.069,1a,93.600,150-321,Yes,150;159;206;282;316;320;321
KX621447,3,94.847,3a,93.090,150-321,Yes,150;159;206;282;316;320;321
KX621453,3,95.825,3a,93.286,150-321,Yes,150;159;206;282;316;320;321
KX621454,3,95.173,3a,94.785,150-321,Yes,150;159;206;282;316;320;321
