Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
KC124525,1,78.194,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124526,1,79.483,1b,90.122,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124528,1,78.481,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124529,1,79.208,1b,89.429,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124531,1,79.556,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124532,1,80.063,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124533,1,80.053,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124534,1,79.303,1b,89.752,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124536,1,78.850,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124537,1,79.747,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124538,1,79.863,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124539,1,80.274,1b,88.795,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124541,1,79.125,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124542,1,80.201,1b,90.861,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124543,1,78.967,1b,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124544,1,79.863,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124545,1,80.623,1b,90.914,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124548,1,79.367,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124549,1,79.241,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124551,1,79.472,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124553,1,79.525,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124555,1,79.303,1b,90.174,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124556,1,78.534,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124557,1,79.758,1b,90.486,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124558,1,78.756,1b,89.376,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124560,1,79.568,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124561,1,78.259,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124562,1,79.430,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124563,1,79.272,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124565,1,79.968,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124567,1,78.153,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124568,1,79.378,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124569,1,79.336,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124571,1,78.956,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124572,1,79.894,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124573,1,78.839,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124574,1,79.852,1b,90.597,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124575,1,79.039,1d,87.308,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124576,1,79.186,1b,88.689,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124577,1,80.169,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124578,1,79.694,1b,89.963,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124579,1,79.599,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124580,1,80.053,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124582,1,79.536,1b,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124583,1,79.503,1b,91.966,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124584,1,78.881,1b,90.174,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124585,1,79.167,1b,91.337,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124586,1,80.528,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124589,1,79.314,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124591,1,79.989,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124592,1,79.694,1b,90.333,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124593,1,79.758,1b,89.799,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124594,1,79.620,1b,90.914,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124596,1,79.389,1b,91.332,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124597,1,80.084,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124598,1,79.715,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124601,1,79.937,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124602,1,78.847,1b,90.265,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124603,1,80.232,1b,90.486,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124604,1,78.405,1b,89.323,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124605,1,80.116,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124606,1,79.092,1b,89.071,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124607,1,79.905,1b,89.641,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124609,1,79.715,1b,89.693,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124610,1,80.000,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124611,1,79.008,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124612,1,79.292,1b,90.243,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124613,1,79.525,1b,90.486,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124614,1,79.905,1b,90.914,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124619,1,79.863,1b,89.006,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124621,1,80.222,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124623,1,79.609,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124624,1,79.472,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124625,1,79.800,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124626,1,78.786,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124627,1,79.673,1b,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124628,1,79.547,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124630,1,79.283,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124631,1,80.401,1b,91.385,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124633,1,79.525,1b,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124634,1,79.758,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124635,1,79.641,1b,91.125,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124636,1,79.167,1b,89.799,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124638,1,79.050,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124640,1,79.156,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124641,1,78.872,1b,90.069,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124643,1,79.208,1b,89.799,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124644,1,79.599,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124645,1,78.734,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124648,1,78.997,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124651,1,78.839,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124653,1,79.863,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124654,1,79.409,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124655,1,79.008,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124656,1,79.916,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124657,1,78.703,1b,89.376,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124658,1,79.050,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124659,1,80.232,1b,91.808,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124660,1,79.303,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124661,1,79.072,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124662,1,79.652,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124663,1,79.831,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124665,1,79.092,1b,88.901,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124666,1,81.055,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124667,1,79.156,1b,91.332,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124668,1,79.325,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124669,1,79.652,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124672,1,78.903,1b,90.174,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124673,1,79.662,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124674,1,79.239,1b,90.755,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124675,1,79.314,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124676,1,79.367,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124677,1,79.208,1b,89.799,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124678,1,79.061,1b,89.646,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124679,1,78.628,1b,89.218,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124680,1,78.903,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124681,1,80.887,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124682,1,79.968,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124683,1,79.631,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124686,1,79.789,1b,90.486,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124687,1,79.631,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124688,1,79.239,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124690,1,79.472,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124691,1,79.673,1b,91.812,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124692,1,79.441,1b,90.486,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124693,1,79.778,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124695,1,79.356,1b,89.799,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124696,1,78.364,1b,89.323,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124697,1,79.250,1b,91.015,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124699,1,78.786,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124701,1,79.958,1b,91.231,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124702,1,79.884,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124705,1,78.575,1b,89.535,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124706,1,80.390,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124707,1,79.863,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124708,1,79.494,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124709,1,79.673,1b,89.440,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124710,1,80.211,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124713,1,79.810,1b,90.486,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124714,1,79.125,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124715,1,80.274,1b,90.856,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124716,1,79.547,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124717,1,79.989,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124718,1,79.356,1b,91.649,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124719,1,79.747,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124720,1,79.345,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124721,1,79.736,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124722,1,78.903,1b,89.382,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124723,1,79.915,1b,91.284,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124724,1,79.831,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124725,1,78.892,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124726,1,79.167,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124727,1,78.756,1b,89.641,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124729,1,79.778,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124730,1,80.739,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124732,1,79.156,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124733,1,78.997,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124734,1,79.420,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124736,1,79.250,1b,89.799,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124738,1,79.620,1b,89.535,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124739,1,80.127,1b,89.429,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124740,1,79.894,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124741,1,80.169,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124745,1,79.145,1b,90.967,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124746,1,78.756,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124747,1,79.230,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124748,1,79.789,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124749,1,79.852,1b,90.491,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124750,1,80.127,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124751,1,80.021,1b,90.784,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124752,1,79.145,1b,90.016,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124753,1,77.655,1b,88.531,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124754,1,79.072,1b,91.332,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124755,1,79.545,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124759,1,79.589,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124760,1,78.881,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124761,1,79.631,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124762,1,79.884,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124763,1,79.250,1b,89.805,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124764,1,80.053,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124765,1,79.493,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124766,1,78.364,1b,88.953,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124767,1,79.620,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC124768,1,79.092,1b,90.386,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125010,1,95.351,1a,95.193,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125011,1,94.295,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125014,1,94.083,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125015,1,95.880,1a,95.668,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125016,1,92.072,1a,91.913,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125017,1,96.038,1a,95.721,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125018,1,95.087,1a,94.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125019,1,93.872,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125020,1,94.031,1a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125023,1,93.502,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125024,1,93.502,1a,93.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125025,1,94.770,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125028,1,93.819,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125029,1,94.506,1a,95.298,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125030,1,93.397,1a,93.978,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125031,1,94.345,1a,93.922,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125032,1,91.284,1a,91.178,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125034,1,93.397,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125035,1,90.808,1a,91.601,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125036,1,93.925,1a,95.457,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125037,1,94.982,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125039,1,93.767,1a,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125040,1,95.087,1a,95.351,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125041,1,94.823,1a,95.193,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125042,1,92.604,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125043,1,93.133,1a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125045,1,95.193,1a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125048,1,93.714,1a,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125050,1,91.442,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125051,1,93.608,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125053,1,91.653,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125054,1,93.819,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125055,1,94.031,1a,94.031,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125056,1,93.978,1a,93.767,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125057,1,92.710,1a,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125059,1,93.872,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125061,1,94.665,1a,95.246,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125062,1,95.140,1a,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125063,1,94.876,1a,94.453,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125064,1,94.717,1a,94.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125066,1,93.080,1a,93.185,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125067,1,96.566,1a,96.249,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125068,1,93.608,1a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125069,1,93.819,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125071,1,94.717,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125072,1,99.472,1a,98.732,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125073,1,99.049,1a,98.310,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125075,1,94.453,1a,94.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125076,1,94.506,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125078,1,94.823,1a,95.087,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125079,1,91.442,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125081,1,93.925,1a,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125083,1,93.714,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125084,1,94.982,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125087,1,94.453,1a,95.087,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125088,1,90.967,1a,91.442,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125090,1,91.601,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125091,1,94.242,1a,93.978,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125093,1,91.865,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125094,1,91.865,1a,92.235,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125095,1,91.442,1a,91.812,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125096,1,93.661,1a,95.563,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125098,1,92.710,1a,92.710,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KC125099,1,95.087,1a,95.404,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
