Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA
AY682785,,,
AY682786,,,
AY682787,,,
AY682788,,,
AY682789,,,
AY682790,,,
AY683092,,,
AY683093,,,
AY683094,,,
AY683095,,,
AY683096,,,
AY683097,,,
AY683098,,,
AY683099,,,
AY683100,,,
AY683101,,,
AY683102,,,
AY683103,,,
AY683104,,,
AY683105,,,
AY683106,,,
AY683107,,,
AY683108,,,
AY683109,,,
AY683110,,,
AY683111,,,
AY683112,,,
AY683113,,,
AY683114,,,
AY683115,,,
AY683116,,,
AY683117,,,
AY683118,,,
AY683119,,,
AY683120,,,
AY683121,,,
AY683122,,,
AY683123,,,
AY683124,,,
AY683125,,,
AY683126,,,
AY683127,,,
AY683128,,,
AY683129,,,
AY683130,,,
AY683131,,,
AY683132,,,
AY685012,,,
AY685013,,,
AY685014,,,
AY685015,,,
AY685016,,,
AY685017,,,
AY685018,,,
AY685019,,,
AY685020,,,
AY685021,,,
AY685022,,,
AY685023,,,
AY685024,,,
AY685025,,,
AY685026,,,
AY685027,,,
AY685028,,,
AY685029,,,
AY685030,,,
AY685031,,,
AY685032,,,
AY685033,,,
AY685034,,,
AY685035,,,
AY685036,,,
AY685037,,,
AY685038,,,
AY685039,,,
AY685040,,,
AY685041,,,
AY685042,,,
AY685043,,,
AY685044,,,
AY685045,,,
AY685046,,,
AY685047,,,
AY685048,,,
AY685049,,,
AY685050,,,
AY685051,,,
AY685052,,,
AY685559,,,
AY685560,,,
AY685561,,,
AY685562,,,
AY685563,,,
AY685564,,,
AY685565,,,
AY685566,,,
AY685567,,,
AY685568,,,
AY685569,,,
AY685570,,,
AY685571,,,
AY685572,,,
AY685573,,,
AY685574,,,
AY685575,,,
AY685576,,,
AY685577,,,
AY685578,,,
AY685579,,,
AY685580,,,
AY685581,,,
AY685582,,,
AY685583,,,
AY685584,,,
AY685585,,,
AY685586,,,
AY685587,,,
AY685588,,,
AY685589,,,
AY685590,,,
AY685591,,,
AY685592,,,
AY685593,,,
AY685594,,,
AY685595,,,
AY685596,,,
AY685597,,,
AY685598,,,
AY685599,,,
AY685600,,,
AY685601,,,
AY685602,,,
AY685603,,,
AY685604,,,
AY685605,,,
AY685606,,,
AY685607,,,
AY685608,,,
AY685609,,,
AY685610,,,
AY685611,,,
AY685612,,,
AY685613,,,
AY685614,,,
AY685615,,,
AY685616,,,
AY685617,,,
AY685618,,,
AY685619,,,
AY685620,,,
AY685621,,,
AY685622,,,
AY685623,,,
AY685624,,,
AY685625,,,
AY685626,,,
AY685627,,,
AY685628,,,
AY685629,,,
AY685630,,,
AY685631,,,
AY685632,,,
AY685633,,,
AY685634,,,
AY685635,,,
AY685636,,,
AY685637,,,
AY685638,,,
AY685639,,,
AY685640,,,
AY685641,,,
AY685642,,,
AY685643,,,
AY685644,,,
AY685645,,,
AY685646,,,
AY685647,,,
AY685648,,,
AY689289,,,
AY689290,,,
AY689291,,,
AY689292,,,
AY689293,,,
AY689294,,,
AY689295,,,
AY689296,,,
AY689297,,,
AY689298,,,
AY689299,,,
AY689300,,,
AY689301,,,
AY689302,,,
AY689303,,,
AY689304,,,
AY689305,,,
AY689306,,,
AY689307,,,
AY689308,,,
AY689309,,,
AY689310,,,
AY689311,,,
AY689312,,,
AY689313,,,
AY689314,,,
AY689315,,,
AY689316,,,
AY689317,,,
AY689318,,,
AY689319,,,
AY689320,,,
AY689321,,,
AY689322,,,
AY689323,,,
AY689324,,,
AY689325,,,
AY689326,,,
AY689327,,,
AY689328,,,
AY689329,,,
AY695436,1,1a,26-93
AY695437,1,1a,26-93
AY706997,,,
AY707000,,,
AY707283,,,
AY707284,,,
AY707285,,,
AY707286,,,
AY707287,,,
AY707288,,,
AY707289,,,
AY707290,,,
AY707291,,,
AY707292,,,
AY707293,,,
AY707294,,,
AY707295,,,
AY707296,,,
AY707297,,,
AY707298,,,
AY707299,,,
AY707300,,,
AY707301,,,
AY707302,,,
AY707303,,,
AY707304,,,
AY707305,,,
AY707306,,,
AY707307,,,
AY707308,,,
AY707309,,,
AY707310,,,
AY707311,,,
AY707312,,,
AY712793,,,
AY712794,,,
AY712795,,,
AY712796,,,
AY712797,,,
AY712798,,,
AY712799,,,
AY712800,,,
AY712801,,,
AY712802,,,
AY712803,,,
AY712804,,,
AY712805,,,
AY712806,,,
AY712807,,,
AY712808,,,
AY712809,,,
AY712810,,,
AY712811,,,
AY712812,,,
AY712813,,,
AY712814,,,
AY712815,,,
AY712816,,,
AY712817,,,
AY712818,,,
AY712819,,,
AY712820,,,
AY712821,,,
AY712822,,,
AY712823,,,
AY712824,,,
AY712825,,,
AY712826,,,
AY712827,,,
AY712828,,,
AY712829,,,
AY712830,,,
AY712831,,,
AY712832,,,
AY712833,,,
AY712834,,,
AY712835,,,
AY712836,,,
AY712837,,,
AY712838,,,
AY712839,,,
AY712840,,,
AY712841,,,
AY712842,,,
AY712843,,,
AY712844,,,
AY712845,,,
AY712846,,,
AY712847,,,
AY712848,,,
AY712849,,,
AY712850,,,
AY712851,,,
AY712852,,,
AY712853,,,
AY712854,,,
AY712855,,,
AY712856,,,
AY712857,,,
AY712858,,,
AY712859,,,
AY712860,,,
AY712861,,,
AY712862,,,
AY712863,,,
AY712864,,,
AY712865,,,
AY712866,,,
AY712867,,,
AY712868,,,
AY712869,,,
AY712870,,,
AY712871,,,
AY712872,,,
AY712873,,,
AY712874,,,
AY712875,,,
AY712876,,,
AY712877,,,
AY712878,,,
AY712879,,,
AY712880,,,
AY712881,,,
AY712882,,,
AY712883,,,
AY712884,,,
AY712885,,,
AY712886,,,
AY712887,,,
AY712888,,,
AY712889,,,
AY712890,,,
AY712891,,,
AY712892,,,
AY712893,,,
AY712894,,,
AY712895,,,
AY712896,,,
AY712897,,,
AY712898,,,
AY712899,,,
AY712900,,,
AY712901,,,
AY712902,,,
AY712903,,,
AY712904,,,
AY712905,,,
AY712906,,,
AY712907,,,
AY712908,,,
AY712909,,,
AY712910,,,
AY712911,,,
AY712912,,,
AY712913,,,
AY712914,,,
AY712915,,,
AY712916,,,
AY712917,,,
AY712918,,,
AY712919,,,
AY712920,,,
AY712921,,,
AY712922,,,
AY712923,,,
AY712924,,,
AY712925,,,
AY712926,,,
AY712927,,,
AY712928,,,
AY712929,,,
AY712930,,,
AY712931,,,
AY712932,,,
AY712933,,,
AY712934,,,
AY712935,,,
AY712936,,,
AY712937,,,
AY726012,1,1a,26-93
AY726013,1,1a,26-93
AY726014,1,1a,26-93
AY726015,1,1a,26-93
AY726016,1,1a,26-93
AY726017,1,1a,26-93
AY726018,1,1a,26-93
AY726019,1,1a,26-93
AY726020,1,1a,26-93
AY726021,1,1a,26-93
AY726022,1,1a,26-93
AY726023,1,1a,26-93
AY726024,1,1a,26-93
AY726025,1,1a,26-93
AY726026,1,1a,26-93
AY726027,1,1a,26-93
AY726028,1,1a,26-93
AY726029,1,1a,26-93
AY726030,1,1a,26-93
AY726031,1,1a,26-93
AY726032,1,1a,26-93
AY726033,1,1a,26-93
AY726034,1,1a,26-93
AY726035,1,1a,26-93
AY726036,1,1a,26-93
AY726037,1,1a,26-93
AY726038,1,1a,26-93
AY726039,1,1a,26-93
AY726040,1,1a,26-93
AY726041,1,1a,26-93
AY726042,1,1a,26-93
AY726043,1,1a,26-93
AY726044,1,1a,26-93
AY726045,1,1a,26-93
AY726046,1,1a,26-93
AY726047,1,1a,26-93
AY726048,1,1a,26-93
AY726049,1,1a,26-93
AY726050,1,1a,26-93
AY726051,1,1a,26-93
AY726052,1,1a,26-93
AY726053,1,1a,26-93
AY726054,1,1a,26-93
AY726055,1,1a,26-93
AY726056,1,1a,26-93
AY726057,1,1a,26-93
AY726058,1,1a,26-93
AY726059,1,1a,26-93
AY726060,1,1a,26-93
AY726061,1,1a,26-93
AY726062,1,1a,26-93
AY726063,1,1a,26-93
AY726064,1,1a,26-93
AY726065,1,1a,26-93
AY726066,1,1a,26-93
AY726067,1,1a,26-93
AY726068,1,1a,26-93
AY726069,1,1a,26-93
AY726070,1,1a,26-93
AY726071,1,1a,26-93
AY726072,1,1a,26-93
AY726073,1,1a,26-93
AY726074,1,1a,26-93
AY726075,1,1a,26-93
AY726076,1,1a,26-93
AY726077,1,1a,26-93
AY726078,1,1a,26-93
AY726079,1,1a,26-93
AY726080,1,1a,26-93
AY726081,1,1a,26-93
AY726082,1,1a,26-93
AY726083,1,1a,26-93
AY726084,1,1a,26-93
AY726085,1,1a,26-93
AY726086,1,1a,26-93
AY726087,1,1a,26-93
AY726088,1,1a,26-93
AY726089,1,1a,26-93
AY726090,1,1a,26-93
AY726091,1,1a,26-93
AY726092,1,1a,26-93
AY726093,1,1a,26-93
AY726094,1,1a,26-93
AY726095,1,1a,26-93
AY726096,1,1a,26-93
AY726097,1,1a,26-93
AY726098,1,1a,26-93
AY726099,1,1a,26-93
AY726100,1,1a,26-93
AY726101,1,1a,26-93
AY726102,1,1a,26-93
AY726103,1,1a,26-93
AY726104,1,1a,26-93
AY726105,1,1a,26-93
AY726106,1,1a,26-93
AY726107,1,1a,26-93
AY726108,1,1a,26-93
AY726109,1,1a,26-93
AY726110,1,1a,26-93
AY726111,1,1a,26-93
AY726112,1,1a,26-93
AY726113,1,1a,26-93
AY726114,1,1a,26-93
AY726115,1,1a,26-93
AY726116,1,1a,26-93
AY726117,1,1a,26-93
AY726118,1,1a,26-93
AY726119,1,1a,26-93
AY726120,1,1a,26-93
AY726121,1,1a,26-93
AY726122,1,1a,26-93
AY726123,1,1a,26-93
AY726124,1,1a,26-93
AY726125,1,1a,26-93
AY726126,1,1a,26-93
AY726127,1,1a,26-93
AY726128,1,1a,26-93
AY726129,1,1a,26-93
AY726130,1,1a,26-93
AY726131,1,1a,26-93
AY726132,1,1a,26-93
AY726133,1,1a,26-93
AY726134,1,1a,26-93
AY726135,1,1a,26-93
AY726136,1,1a,26-93
AY726137,1,1a,26-93
AY726138,1,1a,26-93
AY726139,1,1a,26-93
AY726140,1,1a,26-93
AY726141,1,1a,26-93
AY726142,1,1a,26-93
AY726143,1,1a,26-93
AY726144,1,1a,26-93
AY726145,1,1a,26-93
AY726146,1,1a,26-93
AY726147,1,1a,26-93
AY726148,1,1a,26-93
AY726149,1,1a,26-93
AY726150,1,1a,26-93
AY726151,1,1a,26-93
AY726152,1,1a,26-93
AY726153,1,1a,26-93
AY726154,1,1a,26-93
AY726155,1,1a,26-93
AY726156,1,1a,26-93
AY726157,1,1a,26-93
AY726158,1,1a,26-93
AY726159,1,1a,26-93
AY726160,1,1a,26-93
AY726161,1,1a,26-93
AY726162,1,1a,26-93
AY726163,1,1a,26-93
AY726164,1,1a,26-93
AY726165,1,1a,26-93
AY726166,1,1a,26-93
AY726167,1,1a,26-93
AY726168,1,1a,26-93
AY726169,1,1a,26-93
AY726170,1,1a,26-93
AY726171,1,1a,26-93
AY726172,1,1a,26-93
AY726173,1,1a,26-93
AY726174,1,1a,26-93
AY726175,1,1a,26-93
AY726176,1,1a,26-93
AY726177,1,1a,26-93
AY726178,1,1a,26-93
AY726179,1,1a,26-93
AY726180,1,1a,26-93
AY726181,1,1a,26-93
AY726182,1,1a,26-93
AY726183,1,1a,26-93
AY726184,1,1a,26-93
AY726185,1,1a,26-93
AY726186,1,1a,26-93
AY726187,1,1a,26-93
AY726188,1,1a,26-93
AY726189,1,1a,26-93
AY726190,1,1a,26-93
AY726191,1,1a,26-93
AY726192,1,1a,26-93
AY726193,1,1a,26-93
AY726194,1,1a,26-93
AY726195,1,1a,26-93
AY726196,1,1a,26-93
AY726197,1,1a,26-93
AY726198,1,1a,26-93
AY726199,1,1a,26-93
AY726200,1,1a,26-93
AY726201,1,1a,26-93
AY726202,1,1a,26-93
AY726203,1,1a,26-93
AY726204,1,1a,26-93
AY726205,1,1a,26-93
AY726206,1,1a,26-93
AY726207,1,1a,26-93
AY726208,1,1a,26-93
AY726209,1,1a,26-93
AY726210,1,1a,26-93
AY726211,1,1a,26-93
AY726212,1,1a,26-93
AY726213,1,1a,26-93
AY726214,1,1a,26-93
AY726215,1,1a,26-93
AY726216,1,1a,26-93
AY726217,1,1a,26-93
AY726218,1,1a,26-93
AY726219,1,1a,26-93
AY726220,1,1a,26-93
AY726221,1,1a,26-93
AY726222,1,1a,26-93
AY726223,1,1a,26-93
AY726224,1,1a,26-93
AY726225,1,1a,26-93
AY726226,1,1a,26-93
AY726227,1,1a,26-93
AY726228,1,1a,26-93
AY726229,1,1a,26-93
AY726230,1,1a,26-93
AY726231,1,1a,26-93
AY726232,1,1a,26-93
AY726233,1,1a,26-93
AY726234,1,1a,26-93
AY726235,1,1a,26-93
AY726236,1,1a,26-93
AY726237,1,1a,26-93
AY726238,1,1a,26-93
AY726239,1,1a,26-93
AY726240,1,1a,26-93
AY726241,1,1a,26-93
AY726242,1,1a,26-93
AY726243,1,1a,26-93
AY726244,1,1a,26-93
AY726245,1,1a,26-93
AY726246,1,1a,26-93
AY726247,1,1a,26-93
AY726248,1,1a,26-93
AY726249,1,1a,26-93
AY726250,1,1a,26-93
AY726251,1,1a,26-93
AY726252,1,1a,26-93
AY726253,1,1a,26-93
AY726254,1,1a,26-93
AY726255,1,1a,26-93
AY726256,1,1a,26-93
AY726257,1,1a,26-93
AY726258,1,1a,26-93
AY726259,1,1a,26-93
AY726260,1,1a,26-93
AY726261,1,1a,26-93
AY726262,1,1a,26-93
AY726263,1,1a,26-93
AY726264,1,1a,26-93
AY726265,1,1a,26-93
AY726266,1,1a,26-93
AY726267,1,1a,26-93
AY726268,1,1a,26-93
AY726269,1,1a,26-93
AY726270,1,1a,26-93
AY726271,1,1a,26-93
AY726272,1,1a,26-93
AY726273,1,1a,26-93
AY726274,1,1a,26-93
AY726275,1,1a,26-93
AY726276,1,1a,26-93
AY726277,1,1a,26-93
AY726278,1,1a,26-93
AY726279,1,1a,26-93
AY726280,1,1a,26-93
AY726281,1,1a,26-93
AY726282,1,1a,26-93
AY726283,1,1a,26-93
AY726284,1,1a,26-93
AY726285,1,1a,26-93
AY726286,1,1a,26-93
AY726287,1,1a,26-93
AY726288,1,1a,26-93
AY726289,1,1a,26-93
AY726290,1,1a,26-93
AY726291,1,1a,26-93
AY726292,1,1a,26-93
AY726293,1,1a,26-93
AY726294,1,1a,26-93
AY726295,1,1a,26-93
AY726296,1,1a,26-93
AY726297,1,1a,26-93
AY726298,1,1a,26-93
AY726299,1,1a,26-93
AY726300,1,1a,26-93
AY726301,1,1a,26-93
AY726302,1,1a,26-93
AY726303,1,1a,26-93
AY726304,1,1a,26-93
AY726305,1,1a,26-93
AY726306,1,1a,26-93
AY726307,1,1a,26-93
AY726308,1,1a,26-93
AY726309,1,1a,26-93
AY726310,1,1a,26-93
AY726311,1,1a,26-93
AY726312,1,1a,26-93
AY726313,1,1a,26-93
AY726314,1,1a,26-93
AY726315,1,1a,26-93
AY726316,1,1a,26-93
AY726317,1,1a,26-93
AY726318,1,1a,26-93
AY726319,1,1a,26-93
AY726320,1,1a,26-93
AY726321,1,1a,26-93
AY726322,1,1a,26-93
AY726323,1,1a,26-93
AY726324,1,1a,26-93
AY726325,1,1a,26-93
AY726326,1,1a,26-93
AY726327,1,1a,26-93
AY726328,1,1a,26-93
AY726329,1,1a,26-93
AY726330,1,1a,26-93
AY726331,1,1a,26-93
AY726332,1,1a,26-93
AY726333,1,1a,26-93
AY726334,1,1a,26-93
AY726335,1,1a,26-93
AY726336,1,1a,26-93
AY726337,1,1a,26-93
AY726338,1,1a,26-93
AY726339,1,1a,26-93
AY726340,1,1a,26-93
AY726341,1,1a,26-93
AY726342,1,1a,26-93
AY726343,1,1a,26-93
AY726344,1,1a,26-93
AY726345,1,1a,26-93
AY726346,1,1a,26-93
AY726347,1,1a,26-93
AY726348,1,1a,26-93
AY726349,1,1a,26-93
AY726350,1,1a,26-93
AY726351,1,1a,26-93
AY726352,1,1a,26-93
AY726353,1,1a,26-93
AY726354,1,1a,26-93
AY726355,1,1a,26-93
AY726356,1,1a,26-93
AY726357,1,1a,26-93
AY726358,1,1a,26-93
AY726359,1,1a,26-93
AY726360,1,1a,26-93
AY726361,1,1a,26-93
AY726362,1,1a,26-93
AY726363,1,1a,26-93
AY726364,1,1a,26-93
AY726365,1,1a,26-93
AY726366,1,1a,26-93
AY726367,1,1a,26-93
AY726368,1,1a,26-93
AY726369,1,1a,26-93
AY726370,1,1a,26-93
AY726371,1,1a,26-93
AY726372,1,1a,26-93
AY726373,1,1a,26-93
AY726374,1,1a,26-93
AY726375,1,1a,26-93
AY726376,1,1a,26-93
AY726377,1,1a,26-93
AY726378,1,1a,26-93
AY726379,1,1a,26-93
AY726380,1,1a,26-93
AY726381,1,1a,26-93
AY726382,1,1a,26-93
AY726383,1,1a,26-93
AY726384,1,1a,26-93
AY726385,1,1a,26-93
AY726386,1,1a,26-93
AY726387,1,1a,26-93
AY726388,1,1a,26-93
AY726389,1,1a,26-93
AY726390,1,1a,26-93
AY726391,1,1a,26-93
AY726392,1,1a,26-93
AY726393,1,1a,26-93
AY726394,1,1a,26-93
AY726395,1,1a,26-93
AY726396,1,1a,26-93
AY726397,1,1a,26-93
AY726398,1,1a,26-93
AY726399,1,1a,26-93
AY726400,1,1a,26-93
AY726401,1,1a,26-93
AY726402,1,1a,26-93
AY726403,1,1a,26-93
AY726404,1,1a,26-93
AY726405,1,1a,26-93
AY726406,1,1a,26-93
AY726407,1,1a,26-93
AY726408,1,1a,26-93
AY726409,1,1a,26-93
AY726410,1,1a,26-93
AY726411,1,1a,26-93
AY726412,1,1a,26-93
AY726413,1,1a,26-93
AY726414,1,1a,26-93
AY726415,1,1a,26-93
AY726416,1,1a,26-93
AY726417,1,1a,26-93
AY726418,1,1a,26-93
AY726419,1,1a,26-93
AY726420,1,1a,26-93
AY726421,1,1a,26-93
AY726422,1,1a,26-93
AY726423,1,1a,26-93
AY726424,1,1a,26-93
AY726425,1,1a,26-93
AY726426,1,1a,26-93
AY726427,1,1a,26-93
AY726428,1,1a,26-93
AY726429,1,1a,26-93
AY726430,1,1a,26-93
AY726431,1,1a,26-93
AY726432,1,1a,26-93
AY726433,1,1a,26-93
AY726434,1,1a,26-93
AY726435,1,1a,26-93
AY726436,1,1a,26-93
AY726437,1,1a,26-93
AY726438,1,1a,26-93
AY735101,,,
AY735102,,,
AY743050,,,
AY743051,,,
AY743052,,,
AY743053,,,
AY743054,,,
AY743055,,,
AY743056,,,
AY743057,,,
AY743058,,,
AY743059,,,
AY743060,,,
AY743061,,,
AY743062,,,
AY743063,,,
AY743064,,,
AY743065,,,
AY743066,,,
AY743067,,,
AY743068,,,
AY743069,,,
AY743070,,,
AY743071,,,
AY743072,,,
AY743073,,,
AY743074,,,
AY743075,,,
AY743076,,,
AY743077,,,
AY743078,,,
AY743079,,,
AY743080,,,
AY743081,,,
AY743082,,,
AY743083,,,
AY743084,,,
AY743085,,,
AY743086,,,
AY743087,,,
AY743088,,,
AY743089,,,
AY743090,,,
AY743091,,,
AY743092,,,
AY743093,,,
AY743094,,,
AY743095,,,
AY743096,,,
AY743097,,,
AY743098,,,
AY743099,,,
AY743100,,,
AY743101,,,
AY743102,,,
AY743103,,,
AY743104,,,
AY743105,,,
AY743106,,,
AY743107,,,
AY743108,,,
AY743109,,,
AY743110,,,
AY743111,,,
AY743112,,,
AY743113,,,
AY743114,,,
AY743115,,,
AY743116,,,
AY743117,,,
AY743118,,,
AY743119,,,
AY743120,,,
AY743121,,,
AY743122,,,
AY743123,,,
AY743124,,,
AY743125,,,
AY743126,,,
AY743127,,,
AY743128,,,
AY743129,,,
AY743130,,,
AY743131,,,
AY743132,,,
AY743133,,,
AY743134,,,
AY743135,,,
AY743136,,,
AY743137,,,
AY743138,,,
AY743139,,,
AY743140,,,
AY743141,,,
AY743142,,,
AY743143,,,
AY743144,,,
AY743145,,,
AY743146,,,
AY743147,,,
AY743148,,,
AY743149,,,
AY743150,,,
AY743151,,,
AY743152,,,
AY743153,,,
AY743154,,,
AY743155,,,
AY743156,,,
AY743157,,,
AY743158,,,
AY743159,,,
AY743160,,,
AY743161,,,
AY743162,,,
AY743163,,,
AY743164,,,
AY743165,,,
AY743166,,,
AY743167,,,
AY743168,,,
AY743169,,,
AY743170,,,
AY743171,,,
AY743172,,,
AY743173,,,
AY743174,,,
AY743175,,,
AY743176,,,
AY743177,,,
AY743178,,,
AY743179,,,
AY743180,,,
AY743181,,,
AY743182,,,
AY743183,,,
AY743184,,,
AY743185,,,
AY743186,,,
AY743187,,,
AY743188,,,
AY743189,,,
AY743190,,,
AY743191,,,
AY743192,,,
AY743193,,,
AY743194,,,
AY743195,,,
AY743196,,,
AY743197,,,
AY743198,,,
AY743199,,,
AY743200,,,
AY743201,,,
AY743202,,,
AY743203,,,
AY743204,,,
AY743205,,,
AY743206,,,
AY743207,,,
AY743208,,,
AY743209,,,
AY743210,,,
AY743211,,,
AY743212,,,
AY743213,,,
AY743214,,,
AY743215,,,
AY746460,2,2a,26-93
AY754612,,,
AY754615,,,
AY754618,,,
AY754621,,,
AY754624,,,
AY754627,,,
AY754630,,,
AY754633,,,
AY754634,,,
AY754637,,,
AY769705,,,
AY769706,,,
AY769707,,,
AY769708,,,
AY769709,,,
AY769710,,,
AY769711,,,
AY769712,,,
AY769713,,,
AY769714,,,
AY769715,,,
AY770984,,,
AY770985,,,
AY770986,,,
AY770987,,,
AY770988,,,
AY770989,,,
AY770990,,,
AY808003,1,1b,26-93
AY808004,1,1b,26-93
AY808005,1,1b,26-93
AY808006,1,1b,26-93
AY808007,1,1b,26-93
AY808008,1,1b,26-93
AY808009,1,1b,26-93
AY808010,1,1b,26-93
AY808011,1,1b,26-93
AY808012,1,1b,26-93
AY808013,1,1b,26-93
AY808014,1,1b,26-93
AY808015,1,1b,26-93
AY808016,1,1b,26-93
AY808017,1,1b,26-93
AY808018,1,1b,26-93
AY808019,1,1b,26-93
AY808020,1,1b,26-93
AY808021,1,1b,26-93
AY808022,1,1b,26-93
AY808023,1,1b,26-93
AY808024,1,1b,26-93
AY808025,1,1b,26-93
AY808026,1,1b,26-93
AY808027,1,1b,26-93
AY808028,1,1b,26-93
AY808029,1,1b,26-93
AY808030,1,1b,26-93
AY808031,1,1b,26-93
AY808032,1,1b,26-93
AY808033,1,1b,26-93
AY808034,1,1b,26-93
AY808035,1,1b,26-93
AY808036,1,1b,26-93
AY808037,1,1b,26-93
AY808038,1,1b,26-93
AY808039,1,1b,26-93
AY808040,1,1b,26-93
AY808041,1,1b,26-93
AY808042,1,1b,26-93
AY808043,1,1b,26-93
AY821685,,,
AY834931,,,
AY834932,,,
AY834933,,,
AY834934,,,
AY834935,,,
AY834936,,,
AY834937,,,
AY834938,,,
AY834939,,,
AY834940,,,
AY834941,,,
AY834942,,,
AY834943,,,
AY834944,,,
AY834945,,,
AY834946,,,
AY834947,,,
AY834948,,,
AY834949,,,
AY834950,,,
AY834951,,,
AY834952,,,
AY834953,,,
AY834955,,,
AY834956,,,
AY834957,,,
AY834958,,,
AY834959,,,
AY834960,,,
AY834961,,,
AY834962,,,
AY834963,,,
AY834964,,,
AY834965,,,
AY834966,,,
AY834967,,,
AY834968,,,
AY834969,,,
AY834970,,,
AY834971,,,
AY834972,,,
AY834973,,,
AY834974,,,
AY834975,,,
AY834976,,,
AY834977,,,
AY834978,,,
AY834979,,,
AY834980,,,
AY834981,,,
AY834982,,,
AY834983,,,
AY834984,,,
AY834985,,,
AY834986,,,
AY834987,,,
AY834988,,,
AY834989,,,
AY834990,,,
AY834991,,,
AY834992,,,
AY834993,,,
AY834994,,,
AY834995,,,
AY834996,,,
AY834997,,,
AY834998,,,
AY834999,,,
AY835000,,,
AY835001,,,
AY835002,,,
AY835003,,,
AY835004,,,
AY835005,,,
AY835006,,,
AY835007,,,
AY835008,,,
AY835009,,,
AY835010,,,
AY835011,,,
AY835012,,,
AY835013,,,
AY835014,,,
AY835015,,,
AY835016,,,
AY835017,,,
AY835018,,,
AY835019,,,
AY835020,,,
AY835021,,,
AY835022,,,
AY835023,,,
AY835024,,,
AY835025,,,
AY835026,,,
AY835027,,,
AY835028,,,
AY835029,,,
AY835030,,,
AY835031,,,
AY835032,,,
AY835033,,,
AY835034,,,
AY835035,,,
AY835036,,,
AY835037,,,
AY835038,,,
AY835039,,,
AY835040,,,
AY835041,,,
AY835042,,,
AY835043,,,
AY835044,,,
AY835045,,,
AY835046,,,
AY835047,,,
AY835048,,,
AY835049,,,
AY835050,,,
AY835051,,,
AY835052,,,
AY835053,,,
AY835054,,,
AY835055,,,
AY835056,,,
AY835057,,,
AY835058,,,
AY835059,,,
AY835060,,,
AY835061,,,
AY835062,,,
AY835063,,,
AY835064,,,
AY835065,,,
AY835066,,,
AY835067,,,
AY859526,6,6b,26-93
AY861446,1,,
AY861447,1,,
AY861448,1,,
AY861449,1,,
AY861450,1,,
AY861451,1,,
AY861452,1,,
AY861453,1,,
AY861454,1,,
AY878650,6,6b,26-93
AY878651,6,6b,26-93
AY878652,6,6b,26-93
AY894524,,,
AY894526,,,
AY894529,,,
AY894532,,,
AY894535,,,
AY894538,,,
AY894541,,,
AY894544,,,
AY894547,,,
AY894550,,,
AY894553,,,
AY898855,,,
AY898856,,,
AY898857,,,
AY898858,,,
AY898859,,,
AY898860,,,
AY898861,,,
AY898862,,,
AY898863,,,
AY898864,,,
AY898865,,,
AY898866,,,
AY898867,,,
AY898868,,,
AY898869,,,
AY898870,,,
AY898871,,,
AY898872,,,
AY898873,,,
AY898874,,,
AY898875,,,
AY898876,,,
AY898877,,,
AY898878,,,
AY898879,,,
AY898880,,,
AY898881,,,
AY898882,,,
AY898883,,,
AY898884,,,
AY898885,,,
AY898886,,,
AY898887,,,
AY898888,,,
AY898889,,,
AY898890,,,
AY898891,,,
AY898892,,,
AY898893,,,
AY898894,,,
AY898895,,,
AY898896,,,
AY898897,,,
AY898898,,,
AY898899,,,
AY898900,,,
AY898901,,,
AY898902,,,
AY898903,,,
AY898904,,,
AY898905,,,
AY898906,,,
AY898907,,,
AY898908,,,
AY898909,,,
AY898910,,,
AY898911,,,
AY898912,,,
AY898913,,,
AY898914,,,
AY898915,,,
AY898916,,,
AY898917,,,
AY898918,,,
AY898919,,,
AY898920,,,
AY898921,,,
AY898922,,,
AY898923,,,
AY898924,,,
AY898925,,,
AY898926,,,
AY898927,,,
AY898928,,,
AY898929,,,
AY898930,,,
AY898931,,,
AY898932,,,
AY898933,,,
AY898934,,,
AY898935,,,
AY898936,,,
AY898937,,,
AY898938,,,
AY898939,,,
AY898940,,,
AY921180,,,
AY921181,,,
AY921182,,,
AY921183,,,
AY921184,,,
AY921185,,,
AY921186,,,
AY921187,,,
AY921188,,,
AY921189,,,
AY921190,,,
AY921191,,,
AY921192,,,
AY921193,,,
AY921194,,,
AY944635,,,
AY944636,,,
AY944637,,,
AY944638,,,
AY944639,,,
AY944640,,,
AY944641,,,
AY944642,,,
AY944643,,,
AY944644,,,
AY944645,,,
AY944646,,,
AY944647,,,
AY944648,,,
AY944649,,,
AY944650,,,
AY944651,,,
AY944652,,,
AY944653,,,
AY944654,,,
AY944655,,,
AY944656,,,
AY944657,,,
AY944658,,,
AY944659,,,
AY944660,,,
AY944661,,,
AY944662,,,
AY944663,,,
AY944664,,,
AY944665,,,
AY944666,,,
AY944667,,,
AY944668,,,
AY944669,,,
AY944670,,,
AY944671,,,
AY944672,,,
AY944673,,,
AY944674,,,
AY944675,,,
AY944676,,,
AY944677,,,
AY944678,,,
AY944679,,,
AY944680,,,
AY944681,,,
AY944682,,,
AY944683,,,
AY944684,,,
AY948136,,,
AY948137,,,
AY948138,,,
AY948139,,,
AY948140,,,
AY948141,,,
AY948142,,,
AY948143,,,
AY948144,,,
AY948145,,,
AY948146,,,
AY948147,,,
AY948148,,,
