Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype4aDistance,Subtype4bDistance,Subtype4cDistance,Subtype4dDistance,Subtype4dDistance,Subtype4fDistance,Subtype4fDistance,Subtype4gDistance,Subtype4kDistance,Subtype4kDistance,Subtype4lDistance,Subtype4mDistance,Subtype4nDistance,Subtype4oDistance,Subtype4pDistance,Subtype4qDistance,Subtype4rDistance,Subtype4sDistance,Subtype4tDistance,Subtype4vDistance,Subtype4vDistance,Subtype4wDistance,Subtype4wDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
DQ516084,635,4,11.181,20.517,11.746,18.413,18.413,19.365,19.365,21.587,20.353,20.353,15.584,19.206,17.619,16.587,17.778,17.011,22.476,19.206,19.048,16.195,16.195,21.086,21.086,4a,11.181,4c,11.746
DQ988073,637,4,11.617,20.255,12.878,18.442,18.442,18.760,18.760,21.111,20.513,20.513,15.584,19.237,18.283,16.134,17.965,15.873,23.016,20.032,18.442,16.508,16.508,21.565,21.565,4a,11.617,4c,12.878
DQ988074,636,4,11.478,22.132,13.235,19.683,19.683,21.111,21.111,20.645,21.154,21.154,19.156,21.270,19.365,18.022,17.937,17.647,23.453,22.258,20.476,17.143,17.143,23.764,23.764,4a,11.478,4c,13.235
DQ988075,636,4,12.421,21.325,14.007,19.048,19.048,20.952,20.952,21.452,21.795,21.795,18.344,20.000,18.730,18.182,18.413,18.442,24.593,21.452,20.635,18.239,18.239,23.802,23.802,4a,12.421,4c,14.007
DQ988076,636,4,10.377,20.541,12.704,17.619,17.619,19.048,19.048,17.908,19.391,19.391,16.098,18.254,16.774,16.268,17.143,14.701,21.781,20.635,17.619,16.006,16.006,21.246,21.246,4a,10.377,4c,12.704
DQ988077,636,4,9.277,20.806,11.601,17.619,17.619,20.794,20.794,20.645,20.353,20.353,17.370,20.159,18.095,18.660,17.619,17.170,22.476,20.806,18.413,17.433,17.433,21.725,21.725,4a,9.277,4c,11.601
DQ988078,634,4,11.199,20.773,12.878,19.237,19.237,20.350,20.350,20.411,21.314,21.314,16.721,20.350,17.488,18.371,17.965,17.460,24.762,20.827,20.350,16.349,16.349,23.003,23.003,4a,11.199,4c,12.878
DQ988079,637,4,9.262,20.934,10.604,17.647,17.647,19.873,19.873,19.614,20.513,20.513,16.396,19.396,16.852,17.572,17.647,15.714,23.810,20.679,18.442,16.190,16.190,21.246,21.246,4a,9.262,4c,10.604
EF589160,630,4,20.444,20.355,18.730,16.190,16.190,7.778,7.778,22.698,20.513,20.513,18.831,18.095,19.841,18.820,19.683,17.965,22.602,20.476,20.952,17.908,17.908,19.489,19.489,4f,7.778,4d,16.190
EF589161,630,4,20.919,20.355,20.159,17.143,17.143,0.000,0.000,20.952,20.513,20.513,18.669,18.513,20.635,19.298,19.524,17.965,21.824,20.635,20.794,17.908,17.908,19.649,19.649,4f,0.000,4d,17.143
OR497850,618,4,23.604,22.042,20.228,18.932,18.932,22.010,22.010,17.572,8.576,8.576,19.481,21.656,18.255,23.002,19.777,18.494,20.228,22.134,18.791,21.019,21.019,22.524,22.524,4k,8.576,4g,17.572
OR497851,620,4,23.923,21.931,20.752,18.301,18.301,20.255,20.255,18.312,9.677,9.677,19.512,21.212,19.579,22.168,19.617,18.331,20.786,22.099,20.668,20.255,20.255,21.086,21.086,4k,9.677,4g,18.312
OR497852,624,4,25.080,23.779,21.533,20.640,20.640,22.880,22.880,18.341,13.141,13.141,21.104,23.114,19.837,22.003,21.120,20.000,22.023,22.422,22.080,20.800,20.800,22.472,22.472,4k,13.141,4g,18.341
OR497853,630,4,19.524,20.128,18.254,5.079,5.079,18.571,18.571,20.317,19.318,19.318,16.558,18.095,18.095,16.268,16.825,13.990,20.496,19.365,18.254,14.762,14.762,20.323,20.323,4d,5.079,4q,13.990
OR497854,630,4,18.889,19.808,17.619,4.762,4.762,18.254,18.254,20.635,18.831,18.831,16.234,18.254,16.984,15.630,17.143,13.514,20.165,18.889,18.095,14.286,14.286,20.000,20.000,4d,4.762,4q,13.514
OR497855,630,4,19.206,19.968,17.460,5.238,5.238,18.730,18.730,20.159,18.831,18.831,16.071,17.460,17.778,16.108,16.825,13.514,21.002,18.889,17.937,14.127,14.127,19.516,19.516,4d,5.238,4q,13.514
OR497856,630,4,19.206,19.169,17.460,4.921,4.921,17.937,17.937,20.000,18.831,18.831,16.234,17.460,17.619,15.789,16.825,13.831,20.000,19.206,17.937,14.286,14.286,20.000,20.000,4d,4.921,4q,13.831
OR497857,630,4,19.841,21.086,18.254,6.190,6.190,19.365,19.365,21.145,18.994,18.994,17.208,18.571,18.413,16.268,17.778,14.149,21.648,19.683,18.571,14.762,14.762,20.484,20.484,4d,6.190,4q,14.149
OR497858,630,4,20.476,19.968,17.778,5.714,5.714,18.889,18.889,21.111,19.935,19.935,16.721,19.048,17.619,17.065,17.302,13.990,22.456,20.317,18.413,15.397,15.397,20.840,20.840,4d,5.714,4q,13.990
OR497859,630,4,21.429,21.086,20.159,5.873,5.873,21.111,21.111,22.698,20.097,20.097,17.695,19.683,18.571,19.298,18.571,15.898,22.456,20.635,19.048,15.873,15.873,21.971,21.971,4d,5.873,4q,15.898
OR497860,630,4,19.524,20.447,18.254,5.397,5.397,18.571,18.571,21.270,19.318,19.318,16.585,18.571,17.619,16.108,17.460,14.149,21.163,19.524,18.254,14.603,14.603,20.484,20.484,4d,5.397,4q,14.149
OR497861,630,4,19.048,19.808,17.619,5.238,5.238,18.254,18.254,20.476,18.669,18.669,16.234,17.778,17.778,16.268,16.825,13.672,20.679,19.048,17.937,14.127,14.127,19.677,19.677,4d,5.238,4q,13.672
OR497862,630,4,19.048,19.808,17.460,4.603,4.603,18.254,18.254,20.476,18.669,18.669,15.747,17.778,16.984,15.949,16.825,13.514,20.679,19.048,17.778,13.968,13.968,20.323,20.323,4d,4.603,4q,13.514
OR497863,630,4,19.206,19.808,18.095,4.603,4.603,18.254,18.254,20.000,18.344,18.344,15.422,17.778,17.302,15.630,16.667,13.514,20.679,18.730,17.937,13.968,13.968,20.000,20.000,4d,4.603,4q,13.514
OR497864,630,4,18.889,19.489,17.778,4.286,4.286,18.095,18.095,19.841,18.019,18.019,15.260,17.619,17.143,15.311,16.508,13.196,20.517,18.571,17.619,13.810,13.810,19.839,19.839,4d,4.286,4q,13.196
OR497865,630,4,20.159,19.548,18.095,5.556,5.556,17.778,17.778,21.111,18.941,18.941,15.747,17.937,18.095,16.587,17.937,13.990,21.622,19.048,17.778,14.127,14.127,19.777,19.777,4d,5.556,4q,13.990
OR497866,630,4,19.206,18.690,16.984,4.603,4.603,17.619,17.619,21.203,18.506,18.506,16.071,17.619,17.143,15.898,16.667,12.878,20.517,18.571,18.413,14.286,14.286,19.677,19.677,4d,4.603,4q,12.878
OR497867,630,4,19.206,18.690,17.619,5.238,5.238,19.206,19.206,20.317,19.156,19.156,15.584,17.778,17.460,15.470,16.190,12.878,20.194,18.571,18.095,14.127,14.127,20.645,20.645,4d,5.238,4q,12.878
OR497868,630,4,19.683,19.649,17.778,4.444,4.444,18.730,18.730,21.111,18.994,18.994,15.935,17.778,17.302,16.108,17.302,13.672,20.679,19.048,18.413,14.127,14.127,20.161,20.161,4d,4.444,4q,13.672
OR497869,630,4,20.159,19.169,17.460,5.238,5.238,18.730,18.730,21.270,19.643,19.643,16.721,18.571,17.460,17.065,18.095,13.831,21.325,19.206,17.937,14.921,14.921,20.806,20.806,4d,5.238,4q,13.831
OR497870,630,4,23.994,22.771,21.304,20.032,20.032,22.734,22.734,20.635,19.741,19.741,20.813,22.576,22.366,22.169,22.940,20.952,11.111,24.642,22.617,21.304,21.304,23.445,23.445,4r,11.111,4k,19.741
OR497871,629,4,22.419,20.860,20.668,19.048,19.048,20.000,20.000,18.601,18.123,18.123,19.350,20.827,21.781,21.885,20.806,18.095,9.380,21.111,22.132,17.329,17.329,21.789,21.789,4r,9.380,4v,17.329
OR497873,631,4,18.859,20.000,15.556,14.169,14.169,18.413,18.413,19.237,20.650,20.650,13.496,19.206,15.714,16.124,16.667,12.242,20.097,18.095,17.264,6.181,6.181,19.640,19.640,4v,6.181,4q,12.242
OR497874,637,4,10.675,19.646,12.242,17.965,17.965,19.714,19.714,21.712,20.192,20.192,16.558,19.555,18.442,16.933,18.283,16.825,23.651,20.191,19.237,15.906,15.906,21.246,21.246,4a,10.675,4c,12.242
OR497875,631,4,9.984,19.807,11.924,16.534,16.534,18.283,18.283,19.968,19.712,19.712,15.122,17.965,16.534,16.613,16.216,15.714,22.063,19.555,17.488,15.580,15.580,19.968,19.968,4a,9.984,4c,11.924
OR497956,630,4,15.556,20.382,9.206,17.619,17.619,19.524,19.524,20.668,20.000,20.000,17.398,20.635,17.937,17.863,18.889,17.170,23.616,20.952,19.365,16.032,16.032,21.975,21.975,4c,9.206,4a,15.556
OR497988,630,4,19.462,20.325,16.216,15.262,15.262,18.760,18.760,19.176,18.429,18.429,15.935,18.919,15.739,16.150,16.852,8.889,19.206,20.191,17.011,11.429,11.429,21.053,21.053,4q,8.889,4v,11.429
OR594285,630,4,18.700,21.975,16.367,16.375,16.375,21.145,21.145,21.712,20.673,20.673,17.590,19.714,19.386,20.679,18.442,16.349,20.794,19.078,18.442,16.693,16.693,22.843,22.843,4q,16.349,4d,16.375
Y11604,636,4,0.000,22.222,12.704,19.365,19.365,20.952,20.952,21.256,21.280,21.280,18.639,21.429,19.524,19.458,18.413,18.700,23.930,23.387,20.476,18.700,18.700,23.126,23.126,4a,0.000,4c,12.704
AB725987,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725988,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725989,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725990,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725991,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725992,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725993,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725994,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725995,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725996,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725997,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725998,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB725999,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726001,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726002,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726003,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726004,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726005,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726006,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726007,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726008,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726009,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726010,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726011,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726012,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726013,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726014,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726015,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726016,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726017,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726018,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726019,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726020,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726021,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726022,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726023,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726024,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726025,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726026,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726027,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726028,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB726029,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB795432,637,4,8.320,20.161,11.457,17.329,17.329,18.124,18.124,18.871,19.391,19.391,15.909,19.396,17.329,16.134,16.057,16.349,21.587,20.032,18.124,14.921,14.921,21.086,21.086,4a,8.320,4c,11.457
GU814265,637,4,3.454,20.645,10.440,17.170,17.170,19.237,19.237,19.516,18.910,18.910,15.909,19.555,16.852,17.093,16.216,16.190,22.540,20.679,17.965,16.508,16.508,21.725,21.725,4a,3.454,4c,10.440
HM348968,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM348971,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM348975,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM348976,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM348992,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM348993,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM349084,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ537008,636,4,18.225,18.871,16.349,15.873,15.873,18.730,18.730,19.396,20.684,20.684,12.520,19.048,15.556,16.587,15.714,12.242,20.986,18.095,16.667,5.660,5.660,19.968,19.968,4v,5.660,4q,12.242
HQ537009,636,4,19.493,20.893,16.508,16.825,16.825,20.794,20.794,18.601,21.474,21.474,14.610,20.159,16.984,17.544,18.254,13.990,21.463,18.889,17.937,0.000,0.000,21.543,21.543,4v,0.000,4q,13.990
JF735127,630,4,23.285,18.571,21.070,19.968,19.968,21.086,21.086,21.359,21.789,21.789,19.664,22.684,20.447,21.394,20.096,19.298,22.488,21.565,21.565,19.149,19.149,18.850,18.850,4b,18.571,4w,18.850
JF735128,634,4,19.968,20.163,18.095,14.921,14.921,19.524,19.524,18.124,20.673,20.673,14.959,19.365,15.397,17.703,17.097,13.037,21.304,18.254,17.903,6.782,6.782,20.447,20.447,4v,6.782,4q,13.037
JF735129,631,4,18.700,19.777,15.079,16.984,16.984,19.620,19.620,19.524,19.275,19.275,13.496,18.730,15.397,15.949,16.667,13.514,20.517,18.413,18.889,10.935,10.935,21.486,21.486,4v,10.935,4q,13.514
JF735130,617,4,20.355,19.968,16.349,17.302,17.302,19.903,19.903,20.159,18.678,18.678,15.472,21.359,17.460,19.777,19.206,14.263,23.529,19.683,18.254,17.116,17.116,19.968,19.968,4q,14.263,4l,15.472
JF735131,631,4,21.011,20.860,16.984,17.011,17.011,20.000,20.000,21.044,21.336,21.336,15.260,19.237,16.323,17.572,18.065,15.372,19.493,19.281,17.434,14.263,14.263,21.372,21.372,4v,14.263,4q,15.372
JF735132,630,4,21.860,20.860,17.329,16.694,16.694,19.873,19.873,21.553,20.451,20.451,16.775,17.302,16.693,19.329,19.237,16.032,23.810,18.442,18.152,16.190,16.190,21.725,21.725,4q,16.032,4v,16.190
JF735133,631,4,19.304,19.675,16.190,16.190,16.190,20.159,20.159,19.237,21.154,21.154,13.659,20.476,15.556,17.863,17.619,13.037,22.576,18.413,17.619,6.656,6.656,21.212,21.212,4v,6.656,4q,13.037
JF735134,630,4,22.602,17.302,20.331,17.264,17.264,19.381,19.381,22.565,20.684,20.684,19.408,20.385,20.833,18.476,20.488,19.055,22.632,20.888,19.872,19.275,19.275,18.590,18.590,4b,17.302,4d,17.264
JF735135,618,4,13.154,20.355,12.460,17.143,17.143,19.365,19.365,19.839,19.872,19.872,17.695,19.841,18.254,17.863,18.095,15.898,21.824,20.000,19.048,16.006,16.006,21.885,21.885,4c,12.460,4a,13.154
JF735136,630,4,23.613,22.684,19.048,19.206,19.206,20.635,20.635,23.333,21.895,21.895,17.241,20.794,18.494,20.734,19.839,17.806,23.203,0.000,20.952,17.433,17.433,22.488,22.488,4s,0.000,4v,17.433
JF735137,637,4,9.890,21.613,11.994,18.760,18.760,20.509,20.509,21.417,20.833,20.833,17.370,20.032,18.124,18.530,18.124,16.825,23.968,19.871,18.760,17.647,17.647,22.843,22.843,4a,9.890,4c,11.994
JF735138,630,4,23.616,19.841,21.406,21.556,21.556,22.524,22.524,21.815,20.000,20.000,20.908,23.642,21.246,22.452,21.860,21.372,22.488,22.697,22.479,20.767,20.767,19.449,19.449,4b,19.841,4w,19.449
JN377760,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
JN377762,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
JN377764,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
JN377765,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
JN377773,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
JQ347513,636,4,9.906,21.129,12.878,18.124,18.124,18.919,18.919,19.651,19.071,19.071,17.208,19.237,16.534,16.613,16.534,16.508,24.603,20.986,19.078,16.667,16.667,21.246,21.246,4a,9.906,4c,12.878
JQ347514,635,4,10.866,21.178,11.401,17.619,17.619,19.683,19.683,20.476,20.353,20.353,16.260,19.524,17.258,17.703,16.190,15.670,23.127,20.635,19.206,16.904,16.904,22.204,22.204,4a,10.866,4c,11.401
JQ347515,636,4,11.478,20.986,12.398,18.283,18.283,19.873,19.873,21.395,20.833,20.833,16.748,19.078,17.609,17.252,17.965,16.774,23.333,20.191,19.873,15.506,15.506,21.406,21.406,4a,11.478,4c,12.398
OP555739,630,4,19.841,19.169,17.619,5.079,5.079,17.937,17.937,21.835,19.156,19.156,16.721,18.254,17.143,16.534,17.143,13.514,20.840,19.206,18.889,14.603,14.603,20.161,20.161,4d,5.079,4q,13.514
OP555740,630,4,19.524,19.329,17.460,5.079,5.079,17.619,17.619,21.746,18.831,18.831,16.558,18.095,16.984,16.587,16.984,13.355,20.679,19.048,18.730,14.444,14.444,20.161,20.161,4d,5.079,4q,13.355
OP555741,630,4,19.048,19.489,17.778,5.079,5.079,18.483,18.483,20.000,18.344,18.344,16.071,17.619,17.302,15.949,16.349,13.355,21.163,18.889,17.302,13.333,13.333,19.516,19.516,4d,5.079,4q,13.355
OP555742,630,4,19.048,19.489,17.778,5.079,5.079,18.483,18.483,20.000,18.344,18.344,16.071,17.619,17.302,15.949,16.349,13.355,21.163,18.889,17.302,13.333,13.333,19.516,19.516,4d,5.079,4q,13.355
OP555743,630,4,19.048,19.489,17.778,5.079,5.079,18.483,18.483,20.000,18.344,18.344,16.071,17.619,17.302,15.949,16.349,13.355,21.163,18.889,17.302,13.333,13.333,19.516,19.516,4d,5.079,4q,13.355
OP555744,630,4,19.048,19.489,17.778,5.079,5.079,18.483,18.483,20.000,18.344,18.344,16.071,17.619,17.302,15.949,16.349,13.355,21.163,18.889,17.302,13.333,13.333,19.516,19.516,4d,5.079,4q,13.355
OP555745,630,4,19.206,19.649,17.937,5.238,5.238,18.641,18.641,20.159,18.344,18.344,16.234,17.778,17.460,16.108,16.508,13.514,21.163,18.889,17.460,13.492,13.492,19.677,19.677,4d,5.238,4q,13.514
OR402883,585,4,10.085,19.790,13.597,16.867,16.867,18.589,18.589,21.649,19.896,19.896,16.408,19.449,16.867,16.436,17.900,16.867,22.375,19.793,19.793,16.179,16.179,20.069,20.069,4a,10.085,4c,13.597
PX290144,630,4,21.395,19.548,18.447,16.349,16.349,8.571,8.571,21.325,20.673,20.673,18.344,18.730,19.206,18.820,20.635,17.647,22.313,19.516,19.683,17.433,17.433,19.649,19.649,4f,8.571,4d,16.349
PX386963,629,4,19.396,21.850,17.329,15.103,15.103,19.555,19.555,19.968,22.276,22.276,14.123,19.078,16.057,18.022,18.022,13.057,23.482,18.341,18.979,6.518,6.518,22.258,22.258,4v,6.518,4q,13.057
PX386965,630,4,22.097,10.635,19.489,20.908,20.908,20.065,20.065,23.089,23.941,23.941,21.809,22.492,21.885,22.169,21.531,20.860,24.378,23.126,21.885,20.541,20.541,19.714,19.714,4b,10.635,4w,19.714
PX386971,630,4,15.832,20.893,10.000,18.871,18.871,20.159,20.159,20.952,19.391,19.391,18.374,20.476,20.317,21.212,19.841,17.488,22.893,20.794,19.839,17.460,17.460,21.815,21.815,4c,10.000,4a,15.832
PX386974,630,4,21.078,23.671,19.449,20.986,20.986,21.622,21.622,18.413,17.788,17.788,20.617,21.940,21.486,22.045,21.145,20.635,10.000,24.483,20.827,19.714,19.714,22.364,22.364,4r,10.000,4k,17.788
PX386975,630,4,14.286,21.406,8.571,15.873,15.873,18.730,18.730,20.484,19.071,19.071,16.558,19.048,15.873,17.742,19.048,15.103,21.987,20.000,18.413,15.238,15.238,21.531,21.531,4c,8.571,4a,14.286
PX386976,630,4,23.138,23.248,21.277,20.668,20.668,21.145,21.145,19.841,18.750,18.750,19.350,22.417,22.528,23.482,20.509,20.794,10.476,23.847,22.417,19.396,19.396,22.476,22.476,4r,10.476,4k,18.750
PX386977,631,4,21.078,21.725,18.254,17.937,17.937,20.476,20.476,20.635,22.276,22.276,16.721,19.810,19.048,19.777,19.524,14.467,22.258,19.524,20.952,9.350,9.350,21.661,21.661,4v,9.350,4q,14.467
PX386980,630,4,20.952,20.968,17.771,16.667,16.667,19.841,19.841,20.635,19.422,19.422,16.260,18.095,16.613,15.949,13.492,14.378,20.358,20.317,8.571,16.032,16.032,20.767,20.767,4t,8.571,4p,13.492
PX386983,631,4,19.810,19.936,16.349,14.921,14.921,19.524,19.524,19.078,20.032,20.032,15.260,19.048,14.603,17.225,16.508,11.924,21.463,16.825,17.302,5.864,5.864,20.128,20.128,4v,5.864,4q,11.924
PX386993,630,4,19.365,21.725,17.460,16.349,16.349,9.048,9.048,20.635,20.513,20.513,17.370,18.413,18.889,18.820,19.206,17.011,23.616,20.476,20.159,16.984,16.984,20.447,20.447,4f,9.048,4d,16.349
PX386994,636,4,12.893,20.860,13.399,19.777,19.777,20.096,20.096,20.129,20.358,20.358,17.427,18.820,19.032,17.863,18.124,16.801,24.601,20.161,20.415,18.553,18.553,22.134,22.134,4a,12.893,4c,13.399
PX386995,636,4,11.635,20.934,11.924,19.078,19.078,20.350,20.350,21.905,20.994,20.994,17.045,19.714,18.760,17.891,19.078,17.778,23.968,19.873,19.555,17.165,17.165,22.364,22.364,4a,11.635,4c,11.924
PX386996,630,4,19.206,19.871,16.830,5.714,5.714,18.571,18.571,20.000,17.788,17.788,14.773,18.254,16.984,17.384,16.190,13.831,19.555,18.387,17.937,12.698,12.698,19.936,19.936,4d,5.714,4v,12.698
PX386997,629,4,20.602,19.936,18.601,4.293,4.293,18.919,18.919,20.602,18.831,18.831,16.558,17.965,17.647,17.732,17.965,14.127,21.452,19.873,19.078,14.308,14.308,19.839,19.839,4d,4.293,4q,14.127
PX386998,630,4,19.206,18.094,17.778,4.921,4.921,17.619,17.619,20.476,18.269,18.269,15.422,18.413,18.254,17.065,15.556,12.878,20.350,18.730,17.619,13.968,13.968,20.096,20.096,4d,4.921,4q,12.878
PX387000,627,4,23.089,23.604,21.242,18.820,18.820,23.764,23.764,24.553,24.351,24.351,19.544,22.967,21.850,13.557,21.019,18.669,24.879,23.604,21.531,18.820,18.820,23.810,23.810,4o,13.557,4v,18.820
PX446232,630,4,22.540,21.406,19.841,16.667,16.667,9.048,9.048,23.688,22.917,22.917,19.318,19.206,20.159,19.777,21.587,18.601,23.089,20.476,22.063,18.254,18.254,22.045,22.045,4f,9.048,4d,16.667
EU392169,630,4,21.236,21.486,18.932,18.413,18.413,11.270,11.270,22.544,22.240,22.240,19.837,20.000,19.206,19.777,21.270,18.760,23.290,20.000,21.270,18.384,18.384,21.885,21.885,4f,11.270,4v,18.384
EU392170,630,4,20.159,21.325,18.447,17.619,17.619,9.206,9.206,21.290,20.192,20.192,17.695,17.143,19.841,19.139,20.159,17.329,23.290,20.161,21.587,17.778,17.778,20.447,20.447,4f,9.206,4m,17.143
EU392171,624,4,23.175,21.104,18.822,18.153,18.153,20.223,20.223,19.108,9.135,9.135,17.857,21.406,18.314,21.070,19.427,20.223,19.055,19.935,20.447,17.778,17.778,20.385,20.385,4k,9.135,4v,17.778
EU392172,629,4,19.493,18.501,17.647,3.975,3.975,17.647,17.647,20.919,18.669,18.669,16.234,18.442,17.488,16.454,17.170,13.810,20.645,18.601,18.442,13.672,13.672,20.734,20.734,4d,3.975,4q,13.810
EU392173,624,4,21.280,21.429,19.281,18.660,18.660,20.574,20.574,16.454,0.000,0.000,20.650,20.225,19.481,21.104,19.936,18.750,18.494,22.623,19.520,19.936,19.936,21.027,21.027,4k,0.000,4g,16.454
EU392174,630,4,20.761,20.893,17.799,17.143,17.143,8.730,8.730,22.097,21.314,21.314,18.537,19.365,20.317,17.863,20.952,17.011,23.577,20.161,20.952,18.700,18.700,20.767,20.767,4f,8.730,4q,17.011
EU392175,630,4,20.952,21.850,20.874,17.778,17.778,0.000,0.000,21.940,21.955,21.955,20.163,18.889,20.161,18.501,21.111,18.901,23.370,22.063,22.222,18.730,18.730,19.649,19.649,4f,0.000,4d,17.778
FJ025854,626,4,22.617,20.032,20.734,20.064,20.064,21.815,21.815,21.086,21.202,21.202,19.903,19.777,20.096,21.531,20.382,19.139,22.329,21.546,20.806,19.298,19.298,16.773,16.773,4w,16.773,4v,19.298
FJ025855,626,4,23.126,18.660,21.885,19.839,19.839,19.617,19.617,21.725,21.027,21.027,20.325,22.524,20.447,20.840,20.893,18.387,22.807,22.167,21.246,19.298,19.298,0.000,0.000,4w,0.000,4b,18.660
FJ025856,630,4,23.604,17.965,22.006,20.064,20.064,19.777,19.777,22.581,21.348,21.348,19.869,22.488,22.169,21.061,21.815,19.458,22.222,22.488,22.488,19.163,19.163,0.000,0.000,4w,0.000,4b,17.965
FJ462431,630,4,18.413,19.586,17.129,17.302,17.302,19.524,19.524,18.387,19.872,19.872,14.797,20.317,17.419,17.703,0.000,15.509,21.463,19.839,14.444,15.873,15.873,20.927,20.927,4p,0.000,4t,14.444
FJ462432,630,4,21.519,21.497,20.000,20.161,20.161,20.952,20.952,0.000,16.506,16.506,19.805,22.099,20.635,21.053,18.387,19.810,20.476,23.333,20.350,18.542,18.542,21.725,21.725,4g,0.000,4k,16.506
FJ462433,630,4,21.395,21.002,19.841,17.619,17.619,18.513,18.513,22.099,20.225,20.225,16.721,0.000,19.493,18.820,20.317,17.011,22.150,20.794,21.111,17.722,17.722,22.524,22.524,4m,0.000,4q,17.011
FJ462434,630,4,18.700,19.586,14.467,13.196,13.196,17.965,17.965,19.810,18.750,18.750,12.825,17.011,14.467,15.176,15.509,0.000,21.429,17.806,15.832,10.811,10.811,18.387,18.387,4q,0.000,4v,10.811
FJ462435,630,4,22.222,0.000,19.489,18.740,18.740,20.355,20.355,21.497,21.429,21.429,20.032,21.002,21.246,19.968,19.586,19.586,23.833,22.684,21.086,18.979,18.979,17.965,17.965,4b,0.000,4w,17.965
FJ462436,630,4,12.704,19.489,0.000,16.828,16.828,20.159,20.159,20.000,19.212,19.212,16.234,19.841,17.143,17.476,17.129,14.467,21.644,19.048,16.990,15.556,15.556,21.885,21.885,4c,0.000,4a,12.704
FJ462437,630,4,19.524,19.329,17.937,0.000,0.000,18.254,18.254,20.794,18.476,18.476,15.584,18.254,17.619,16.427,17.619,13.831,21.648,19.206,18.413,14.762,14.762,19.839,19.839,4d,0.000,4q,13.831
FJ462438,621,4,23.772,22.039,20.820,19.904,19.904,21.338,21.338,17.197,0.000,0.000,20.813,20.607,19.055,21.626,19.904,20.541,18.893,21.895,20.447,20.509,20.509,21.669,21.669,4k,0.000,4g,17.197
