Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA,FullyCover
AB719704,,,,
AB719705,,,,
AB719706,,,,
AB719707,,,,
AB719708,,,,
AB719709,,,,
AB719710,,,,
AB719711,,,,
AB719712,,,,
AB719713,,,,
AB719714,,,,
AB719715,,,,
AB719716,,,,
AB719717,,,,
AB719718,,,,
AB719719,,,,
AB719720,,,,
AB719721,,,,
AB719722,,,,
AB719723,,,,
AB719724,,,,
AB719725,,,,
AB719726,,,,
AB719727,,,,
AB719728,,,,
AB719729,,,,
AB719730,,,,
AB719731,,,,
AB719732,,,,
AB719733,,,,
AB719734,,,,
AB719735,,,,
AB719736,,,,
AB719737,,,,
AB719738,,,,
AB719739,,,,
AB719740,,,,
AB719741,,,,
AB719742,,,,
AB719743,,,,
AB719744,,,,
AB719745,,,,
AB719746,,,,
AB719747,,,,
AB719748,,,,
AB719749,,,,
AB719750,,,,
AB719751,,,,
AB719752,,,,
AB719753,,,,
AB719754,,,,
AB719755,,,,
AB719756,,,,
AB719757,,,,
AB719758,,,,
AB719759,,,,
AB719760,,,,
AB719761,,,,
AB719762,,,,
AB719763,,,,
AB719764,,,,
AB719765,,,,
AB719766,,,,
AB719767,,,,
AB719768,,,,
AB719769,,,,
AB719770,,,,
AB719771,,,,
AB719772,,,,
AB719773,,,,
AB719774,,,,
AB719775,,,,
AB719776,,,,
AB719777,,,,
AB719778,,,,
AB719779,,,,
AB719780,,,,
AB719781,,,,
AB719782,,,,
AB719783,,,,
AB719784,,,,
AB719785,,,,
AB719786,,,,
AB719787,,,,
AB719788,,,,
AB719789,,,,
AB719790,,,,
AB719791,,,,
AB719792,,,,
AB719793,,,,
AB719794,,,,
AB719795,,,,
AB719796,,,,
AB719797,,,,
AB719798,,,,
AB719799,,,,
AB719800,,,,
AB719801,,,,
AB719802,,,,
AB719803,,,,
AB719804,,,,
AB719805,,,,
AB719806,,,,
AB719807,,,,
AB719808,,,,
AB719809,,,,
AB719810,,,,
AB719811,,,,
AB719812,,,,
AB719813,,,,
AB719814,,,,
AB719815,,,,
AB719816,,,,
AB719817,,,,
AB719818,,,,
AB719819,,,,
AB719820,,,,
AB719821,,,,
AB719822,,,,
AB719823,,,,
AB719824,,,,
AB719825,,,,
AB719826,,,,
AB719827,,,,
AB719828,,,,
AB719829,,,,
AB719830,,,,
AB719831,,,,
AB719832,,,,
AB719833,,,,
AB719834,,,,
AB719835,,,,
AB719836,,,,
AB719837,,,,
AB719838,,,,
AB719839,,,,
AB719840,,,,
AB719841,,,,
AB719842,,,,
AB725987,,,,
AB725988,,,,
AB725989,,,,
AB725990,,,,
AB725991,,,,
AB725992,,,,
AB725993,,,,
AB725994,,,,
AB725995,,,,
AB725996,,,,
AB725997,,,,
AB725998,,,,
AB725999,,,,
AB726000,,,,
AB726001,,,,
AB726002,,,,
AB726003,,,,
AB726004,,,,
AB726005,,,,
AB726006,,,,
AB726007,,,,
AB726008,,,,
AB726009,,,,
AB726010,,,,
AB726011,,,,
AB726012,,,,
AB726013,,,,
AB726014,,,,
AB726015,,,,
AB726016,,,,
AB726017,,,,
AB726018,,,,
AB726019,,,,
AB726020,,,,
AB726021,,,,
AB726022,,,,
AB726023,,,,
AB726024,,,,
AB726025,,,,
AB726026,,,,
AB726027,,,,
AB726028,,,,
AB726029,,,,
AB767304,1,1a,207-321,
AB767305,1,1a,206-321,
AB767306,1,1a,206-321,
AB767307,1,1a,206-321,
AB779562,1,1b,150-321,Yes
AB779679,1,1b,150-321,Yes
AB792683,3,3a,150-321,Yes
AB795432,4,4a,150-321,Yes
AB826566,,,,
AB826567,,,,
AB826568,,,,
AB826569,,,,
AB826570,,,,
AB826571,,,,
AB826572,,,,
AB826573,,,,
AB826574,,,,
AB826575,,,,
AB826576,,,,
AB826577,,,,
AB826578,,,,
AB826579,,,,
AB826580,,,,
AB826581,,,,
AB826582,,,,
AB826583,,,,
AB826584,,,,
AB826585,,,,
AB826586,,,,
AB826587,,,,
AB826588,,,,
AB826589,,,,
AB826590,,,,
AB826591,,,,
AB826592,,,,
AB826593,,,,
AB826594,,,,
AB826595,,,,
AB826596,,,,
AB826597,,,,
AB826598,,,,
AB826599,,,,
AB826600,,,,
AB826601,,,,
AB826602,,,,
AB826603,,,,
AB826604,,,,
AB826605,,,,
AB826606,,,,
AB826607,,,,
AB826608,,,,
AB826609,,,,
AB826610,,,,
AB826611,,,,
AB826612,,,,
AB826613,,,,
AB826614,,,,
AB826615,,,,
AB826616,,,,
AB826617,,,,
AB826618,,,,
AB826619,,,,
AB826620,,,,
AB826621,,,,
AB826622,,,,
AB826623,,,,
AB826624,,,,
AB826625,,,,
AB826626,,,,
AB826627,,,,
AB826628,,,,
AB826629,,,,
AB826630,,,,
AB826631,,,,
AB826632,,,,
AB826633,,,,
AB826634,,,,
AB826635,,,,
AB826636,,,,
AB826637,,,,
AB826638,,,,
AB826639,,,,
AB826640,,,,
AB826641,,,,
AB826642,,,,
AB826643,,,,
AB826644,,,,
AB826645,,,,
AB826646,,,,
AB826647,,,,
AB826648,,,,
AB826649,,,,
AB826650,,,,
AB826651,,,,
AB826652,,,,
AB826653,,,,
AB826654,,,,
AB826655,,,,
AB826656,,,,
AB826657,,,,
AB826658,,,,
AB826659,,,,
AB826660,,,,
AB826661,,,,
AB826662,,,,
AB826663,,,,
AB826664,,,,
AB826665,,,,
AB826666,,,,
AB826667,,,,
AB826668,,,,
AB826669,,,,
AB826670,,,,
AB826671,,,,
AB826672,,,,
AB826673,,,,
AB826674,,,,
AB826675,,,,
AB826676,,,,
AB826677,,,,
AB826678,,,,
AB826679,,,,
AB826680,,,,
AB826681,,,,
AB826682,,,,
AB826683,,,,
AB826684,,,,
AB828699,1,1b,150-321,Yes
AB828700,1,1b,150-321,Yes
AB828701,1,1b,150-321,Yes
AB828702,1,1b,150-321,Yes
AB828703,1,1b,150-321,Yes
AB828704,1,1b,150-321,Yes
AB983775,,,,
AB983776,,,,
AB983777,,,,
AB983778,,,,
AB983779,,,,
AB989306,1,1b,,
AB989307,8,8a,,
AB989308,6,6e,,
AB989309,1,1b,,
AB989310,6,6xc,,
AB989311,6,6a,,
AB989312,6,6e,,
AB989313,6,6r,,
AB989314,1,1b,,
AB989315,1,1b,,
AB989316,2,2a,,
AB989317,6,6e,,
AB989318,6,6e,,
AB989319,6,6q,,
AB989320,6,6e,,
AB989321,1,1b,,
AB989322,6,6xc,,
AB989323,1,1b,,
AB989324,1,1b,,
AB989325,6,6e,,
AB989326,1,1b,,
AB989327,1,1b,,
AB989328,1,1b,,
AB989329,1,1b,,
AB989330,1,1b,,
AB989331,6,6p,,
AB989332,6,6p,,
AB989333,1,1b,,
AB989334,1,1b,,
AB989335,1,1a,,
AB989336,1,1b,,
AB989337,1,1b,,
AB989338,1,1b,,
AB989339,6,6e,,
AB989340,6,6e,,
AB989341,6,6e,,
AB989342,6,6xc,,
AB989343,1,1b,,
AB989344,6,6xf,,
AB989345,6,6q,,
AB989346,1,1b,,
AB989347,1,1b,,
AB989348,1,1b,,
AB989349,1,1b,,
AB989350,1,1b,,
AB989351,8,8a,,
AB989352,6,6s,,
AB989353,1,1b,,
AB989354,6,6e,,
AB989355,6,6e,,
AB989356,6,6e,,
AB989357,1,1b,,
AB989358,6,6e,,
AB989359,6,6xf,,
AB989360,6,6e,,
AB989361,1,1b,,
AB989362,6,6xc,,
AB989363,6,6e,,
AB989364,6,6r,,
AB989365,6,6o,,
AB989366,1,1b,,
AB989367,6,6e,,
AB989368,6,6e,,
AB989369,1,1b,,
AB989370,1,1b,,
AB989371,6,6e,,
AB989372,1,1b,,
AB989373,1,1b,,
AB989374,1,1b,,
AB989375,6,6e,,
AB989376,2,2a,,
AB989377,6,6e,,
AB989378,6,6e,,
AB989379,1,1b,,
AB989380,6,6e,,
AB989381,6,6e,,
AB989382,6,6e,,
AB989383,6,6e,,
AB989384,1,1b,,
AB989385,1,1b,,
AB989386,6,6a,,
AB989387,1,1b,,
AB989388,6,6q,,
AB989389,6,6e,,
AB989390,1,1b,,
AB989391,1,1b,,
AB989392,6,6e,,
AB989393,6,6a,,
AB989394,1,1b,,
AB989395,1,1b,,
AB989396,1,1b,,
AB989397,1,1b,,
AB989398,6,6e,,
AB989399,1,1b,,
AB989400,2,2m,,
AB989401,6,6xc,,
AB989402,6,6p,,
AB989403,1,1b,,
AB989404,1,1b,,
AB989405,1,1b,,
AB989406,6,6e,,
AB989407,6,6e,,
AB989408,1,1b,,
AB989409,8,8a,,
AB989410,1,1b,,
AB989411,1,1b,,
AB989412,6,6a,,
AB989413,1,1b,,
AB989414,2,2a,,
AB989415,6,6r,,
AB989416,6,6e,,
AB989417,1,1b,,
AB989418,6,6e,,
AB989419,6,6a,,
AB989420,6,6e,,
AB989421,1,1a,,
AB989422,1,1a,,
AB989423,1,1b,,
AB989424,1,1b,,
AB989425,6,6e,,
AB989426,6,6c,,
AB989427,1,1b,,
AB989428,1,1b,,
AB989429,1,1b,,
AB989430,6,6e,,
AB989431,2,2a,,
AB989432,1,1b,,
AB989433,1,1b,,
AF009606,1,1a,150-321,Yes
AF011751,1,1a,150-321,Yes
AF011752,1,1a,150-321,Yes
AF011753,1,1a,150-321,Yes
AF029296,,,,
AF029297,,,,
AF033358,,,,
AF033359,,,,
AF033360,,,,
AF033361,,,,
AF033362,,,,
AF033363,,,,
AF033364,,,,
AF033365,,,,
AF033366,,,,
AF033367,,,,
AF033368,,,,
AF033369,,,,
AF033370,,,,
AF033371,,,,
AF033372,,,,
AF033373,,,,
AF033374,,,,
AF033375,,,,
AF033376,,,,
AF034151,,,,
AF035122,,,,
AF035123,,,,
AF035124,,,,
AF035125,,,,
AF035126,,,,
AF035127,,,,
AF035128,,,,
AF035129,,,,
AF035130,,,,
AF035131,,,,
AF035132,,,,
AF035133,,,,
AF035134,,,,
AF035135,,,,
AF035136,,,,
AF035137,,,,
AF035138,,,,
AF035139,,,,
AF035140,,,,
AF035141,,,,
AF035142,,,,
AF035143,,,,
AF035144,,,,
AF035145,,,,
AF035146,,,,
AF035147,,,,
AF035148,,,,
AF035149,,,,
AF035150,,,,
AF037230,1,1a,225-321,
AF037231,1,1a,226-321,
AF037232,1,1d,225-321,
AF037233,1,1d,225-321,
AF037234,1,1i,228-321,
AF037235,1,1d,225-321,
AF037236,1,1d,226-321,
AF037237,1,1d,225-321,
AF037238,1,1d,227-321,
AF037239,2,2a,225-321,
AF037240,2,2a,225-321,
AF037241,2,2d,230-321,
AF037242,2,2d,225-321,
AF037243,2,2d,226-321,
AF037244,2,2d,228-321,
AF037245,2,2j,225-321,
AF037246,2,2j,225-321,
AF037247,2,2j,225-321,
AF037248,2,2v,225-321,
AF037249,2,2k,225-321,
AF037250,2,2d,225-321,
AF037251,2,2j,225-321,
AF037252,2,2j,225-321,
AF037253,2,2a,225-321,
AF037254,2,2t,225-321,
AF041315,1,1b,239-312,
AF041317,1,1a,239-312,
AF041318,1,1b,239-312,
AF041319,1,1b,239-312,
AF041320,1,1a,239-312,
AF041322,1,1a,239-312,
AF041323,1,1b,252-306,
AF041324,,,242-308,
AF041325,1,1a,239-312,
AF041326,2,2c,239-308,
AF041327,2,2c,239-308,
AF041328,1,1b,239-312,
AF042791,,,,
AF046161,1,1b,225-321,
AF046162,1,1b,225-321,
AF046163,1,1b,225-321,
AF046164,1,1b,225-321,
AF046165,1,1b,225-321,
AF046166,1,1b,237-321,
AF046167,1,1b,225-321,
AF046168,1,1b,225-321,
AF046169,1,1b,225-321,
AF046170,1,1b,225-321,
AF046171,1,1b,225-321,
AF046172,1,1b,225-321,
AF046173,1,1b,225-321,
AF046174,1,1b,225-321,
AF046175,1,1b,225-321,
AF046176,1,1b,225-321,
AF046177,1,1b,225-321,
AF046178,1,1b,225-321,
AF046179,1,1b,225-321,
AF046180,1,1b,225-321,
AF046181,1,1b,225-321,
AF046182,1,1b,225-321,
AF046183,1,1b,225-321,
AF046184,1,1b,225-321,
AF046185,1,1b,225-321,
AF046186,1,1b,225-321,
AF046187,1,1b,225-321,
AF046188,1,1b,225-321,
AF046189,1,1b,225-321,
AF046190,1,1b,225-321,
AF046191,1,1b,225-321,
AF046192,1,1b,225-321,
AF046193,1,1b,225-321,
AF046194,2,2a,225-321,
AF046195,2,2a,225-321,
AF046196,2,2a,225-321,
AF046197,2,2a,225-321,
AF046198,2,2a,225-321,
AF046199,2,2a,225-321,
AF046200,2,2a,225-321,
AF046201,2,2a,225-321,
AF046202,2,2a,227-321,
AF046203,2,2a,225-321,
AF046204,2,2a,225-321,
AF046205,2,2a,225-321,
AF046206,2,2a,225-321,
AF046207,2,2a,225-321,
AF046208,2,2a,225-321,
AF046209,2,2a,225-321,
AF046823,4,4a,239-313,
AF046824,4,4o,239-312,
AF046866,3,3a,150-321,Yes
AF051253,,,,
AF051254,,,,
AF051255,,,,
AF051256,,,,
AF051257,,,,
AF051258,,,,
AF051259,,,,
AF051260,,,,
AF051261,,,,
AF051262,,,,
AF051263,,,,
AF051264,,,,
AF051265,,,,
AF051266,,,,
AF051267,,,,
AF051268,,,,
AF051269,,,,
AF051270,,,,
AF051271,,,,
AF051272,,,,
AF051273,,,,
AF054247,1,1b,150-321,Yes
AF054248,1,1b,150-321,Yes
AF054249,1,1b,150-321,Yes
AF054250,1,1b,150-321,Yes
AF054251,1,1b,150-321,Yes
AF054252,1,1b,150-321,Yes
AF054253,1,1b,150-321,Yes
AF054254,1,1b,150-321,Yes
AF054255,1,1b,150-321,Yes
AF054256,1,1b,150-321,Yes
AF054257,1,1b,150-321,Yes
AF054258,1,1b,150-321,Yes
AF054259,1,1b,150-321,Yes
AF054260,1,1b,,
AF054261,1,1b,,
AF054262,1,1b,,
AF054263,1,1b,,
AF054264,1,1b,,
AF054265,1,1b,,
AF054266,1,1b,,
AF054267,1,1b,,
AF054268,1,1b,,
AF062823,1,1b,225-314,
AF062824,1,1b,225-314,
AF062825,1,1b,228-314,
AF064490,5,5b,150-321,Yes
AF071953,1,1a,239-321,
AF071954,2,2b,240-321,
AF071955,1,1a,239-321,
AF071956,1,1b,239-321,
AF071957,1,1b,239-321,
AF071958,1,1a,239-321,
AF071959,1,1a,239-321,
AF071960,1,1a,239-321,
AF071961,1,1a,239-321,
AF071962,1,1b,239-321,
AF071963,1,1a,239-321,
AF071964,1,1a,239-321,
AF071965,1,1a,239-321,
AF071966,1,1a,239-321,
AF071967,2,2b,239-321,
AF071968,1,1a,239-321,
AF071969,2,2b,239-321,
AF071970,3,3a,239-321,
AF071971,2,2b,239-321,
AF071972,2,2b,240-321,
AF071973,1,1b,239-321,
AF071974,1,1a,239-321,
AF071975,1,1a,239-321,
AF071976,1,1b,239-321,
AF071977,1,1b,239-321,
AF071978,1,1b,239-321,
AF071979,1,1a,239-321,
AF071980,1,1a,239-321,
AF071981,1,1a,239-321,
AF071982,1,1a,239-321,
AF071983,1,1a,239-321,
AF071984,1,1a,239-321,
AF071985,1,1a,239-321,
AF071986,1,1a,239-321,
AF071987,1,1b,239-321,
AF107040,2,2b,215-321,
AF107041,1,1b,215-321,
AF139594,1,1b,150-321,Yes
AF145454,1,1b,150-321,Yes
AF149894,1,1b,239-312,
AF149895,1,1b,239-312,
AF149896,1,1b,239-312,
AF149897,1,1b,239-312,
AF149898,1,1b,239-312,
AF149899,1,1b,239-312,
AF149900,1,1b,239-312,
AF149901,1,1b,239-312,
AF149902,1,1b,239-312,
AF149903,1,1b,239-312,
AF149904,1,1b,239-312,
AF152343,,,,
AF156793,,,,
AF156794,,,,
AF156795,,,,
AF164105,2,2m,237-321,
AF164106,2,2j,237-321,
AF164107,2,2d,237-321,
AF164108,2,2b,238-321,
AF164109,2,2r,237-321,
AF164110,2,2b,238-308,
AF164111,2,2d,237-321,
AF164112,2,2u,237-321,
AF165045,1,1b,150-321,Yes
AF165046,1,1b,150-321,Yes
AF165047,1,1b,150-321,Yes
AF165048,1,1b,150-321,Yes
AF165049,1,1b,150-321,Yes
AF165050,1,1b,150-321,Yes
AF165051,1,1b,150-321,Yes
AF165052,1,1b,150-321,Yes
AF165053,1,1b,150-321,Yes
AF165054,1,1b,150-321,Yes
AF165055,1,1b,150-321,Yes
AF165056,1,1b,150-321,Yes
AF165057,1,1b,150-321,Yes
AF165058,1,1b,150-321,Yes
AF165059,1,1b,150-321,Yes
AF165060,1,1b,150-321,Yes
AF165061,1,1b,150-321,Yes
AF165062,1,1b,150-321,Yes
AF165063,1,1b,150-321,Yes
AF165064,1,1b,150-321,Yes
AF169002,2,2a,150-321,Yes
AF169003,2,2a,150-321,Yes
AF169004,2,2a,150-321,Yes
AF169005,2,2a,150-321,Yes
AF176573,1,1b,150-321,Yes
AF177036,2,2a,150-321,Yes
AF207752,1,1b,150-321,Yes
AF207753,1,1b,150-321,Yes
AF207754,1,1b,150-321,Yes
AF207755,1,1b,150-321,Yes
AF207756,1,1b,150-321,Yes
AF207757,1,1b,150-321,Yes
AF207758,1,1b,150-321,Yes
AF207759,1,1b,150-321,Yes
AF207760,1,1b,150-321,Yes
AF207761,1,1b,150-321,Yes
AF207762,1,1b,150-321,Yes
AF207763,1,1b,150-321,Yes
AF207764,1,1b,150-321,Yes
AF207765,1,1b,150-321,Yes
AF207766,1,1b,150-321,Yes
AF207767,1,1b,150-321,Yes
AF207768,1,1b,150-321,Yes
AF207769,1,1b,150-321,Yes
AF207770,1,1b,150-321,Yes
AF207771,1,1b,150-321,Yes
AF207772,1,1b,150-321,Yes
AF207773,1,1b,150-321,Yes
AF207774,1,1b,150-321,Yes
AF208024,1,1b,150-321,Yes
AF213885,1,1b,225-321,
AF213886,1,1b,225-321,
AF213887,1,1b,225-321,
AF213888,1,1b,225-321,
AF213889,1,1b,225-321,
AF213890,1,1b,225-321,
AF213891,1,1b,225-321,
AF213892,1,1b,225-321,
AF213893,1,1b,225-321,
AF216789,5,5a,239-302,
AF216790,5,5a,255-299,
AF216791,5,5a,255-299,
AF238481,2,2a,150-321,Yes
AF238482,2,2a,150-321,Yes
AF238483,2,2a,150-321,Yes
AF238484,2,2a,150-321,Yes
AF238485,2,2a,150-321,Yes
AF238486,2,2b,150-321,Yes
AF264995,,,,
AF264996,,,,
AF264997,,,,
AF264998,,,,
AF264999,,,,
AF265000,,,,
AF265001,,,,
AF265002,,,,
AF265003,,,,
AF265004,,,,
AF265005,,,,
AF265006,,,,
AF265007,,,,
AF265008,,,,
AF265009,,,,
AF265010,,,,
AF265011,,,,
AF265012,,,,
AF265013,,,,
AF265014,,,,
AF265015,,,,
AF265016,,,,
AF265017,,,,
AF265018,,,,
AF265019,,,,
AF265020,,,,
AF265021,,,,
AF265022,,,,
AF265023,,,,
AF265024,,,,
AF265025,,,,
AF265026,,,,
AF265027,,,,
AF265028,,,,
AF265029,,,,
AF265030,,,,
AF265031,,,,
AF265032,,,,
AF265033,,,,
AF265034,,,,
AF265035,,,,
AF265036,,,,
AF265037,,,,
AF265038,,,,
AF265039,,,,
AF265040,,,,
AF265041,,,,
AF265042,,,,
AF265043,,,,
AF265044,,,,
AF265045,,,,
AF265046,,,,
AF265047,,,,
AF265048,,,,
AF265049,,,,
AF265050,,,,
AF265051,,,,
AF265052,,,,
AF265053,,,,
AF265054,,,,
AF265055,,,,
AF265056,,,,
AF265057,,,,
AF265058,,,,
AF265059,,,,
AF265060,,,,
AF265061,,,,
AF265062,,,,
AF265063,,,,
AF265064,,,,
AF265065,,,,
AF265066,,,,
AF265067,,,,
AF265068,,,,
AF265069,,,,
AF265070,,,,
AF265071,,,,
AF265072,,,,
AF265073,,,,
AF265074,,,,
AF265075,,,,
AF265076,,,,
AF265077,,,,
AF265078,,,,
AF265079,,,,
AF265080,,,,
AF265081,,,,
AF265082,,,,
AF265083,,,,
AF265084,,,,
AF265085,,,,
AF265086,,,,
AF265087,,,,
AF265088,,,,
AF265089,,,,
AF265090,,,,
AF265091,,,,
AF265092,,,,
AF265093,,,,
AF265094,,,,
AF265095,,,,
AF265096,,,,
AF265097,,,,
AF265098,,,,
AF265099,,,,
AF265100,,,,
AF265101,,,,
AF265102,,,,
AF265103,,,,
AF265104,,,,
AF265105,,,,
AF265106,,,,
AF265107,,,,
AF265108,,,,
AF265109,,,,
AF265110,,,,
AF265111,,,,
AF265112,,,,
AF265113,,,,
AF265114,,,,
AF265115,,,,
AF265116,,,,
AF265117,,,,
AF265118,,,,
AF265119,,,,
AF265120,,,,
AF265121,,,,
AF265122,,,,
AF265123,,,,
AF265124,,,,
AF265125,,,,
AF265126,,,,
AF265127,,,,
AF265128,,,,
AF265129,,,,
AF265130,,,,
AF265131,,,,
AF265132,,,,
AF265133,,,,
AF265134,,,,
AF265135,,,,
AF265136,,,,
AF265137,,,,
AF265138,,,,
AF265139,,,,
AF265140,,,,
AF265141,,,,
AF265142,,,,
AF265143,,,,
AF265144,,,,
AF265145,,,,
AF265146,,,,
AF265147,,,,
AF265148,,,,
AF265149,,,,
AF265150,,,,
AF265151,,,,
AF265152,,,,
AF265153,,,,
AF265154,,,,
AF265155,,,,
AF265156,,,,
AF265157,,,,
AF265158,,,,
AF265159,,,,
AF265160,,,,
AF265161,,,,
AF265162,,,,
AF265163,,,,
AF265164,,,,
AF265165,,,,
AF268581,1,1a,224-321,
AF268582,1,1a,224-321,
AF268583,1,1a,224-321,
AF268584,1,1a,224-321,
AF268585,1,1a,224-321,
AF268586,1,1a,224-321,
AF268587,1,1a,224-321,
AF268588,1,1a,224-321,
AF268589,1,1a,224-321,
AF268590,1,1a,224-321,
AF268591,1,1a,224-321,
AF268592,1,1a,224-321,
AF271632,1,1a,150-321,Yes
AF271797,1,1g,225-321,
AF271798,1,1g,227-321,
AF271799,1,1g,227-321,
AF271800,4,4a,225-321,
AF271801,4,4a,225-321,
AF271802,4,4a,225-321,
AF271803,4,4a,225-321,
AF271804,4,4a,225-321,
AF271805,4,4a,225-321,
AF271806,4,4c,225-321,
AF271807,4,4a,225-321,
AF271808,4,4a,225-321,
AF271809,4,4a,225-321,
AF271810,4,4a,225-321,
AF271811,4,4a,225-321,
AF271812,4,4a,225-321,
AF271813,4,4m,225-321,
AF271814,4,4o,225-321,
AF271815,4,4o,227-321,
AF271816,4,4l,225-321,
AF279120,3,3h,224-321,
AF279121,3,3b,224-321,
AF282647,1,1a,217-321,
AF282648,1,1a,217-321,
AF282649,1,1a,217-321,
AF282650,1,1a,217-321,
AF282651,1,1a,217-321,
AF282652,1,1a,217-321,
AF282653,1,1b,217-321,
AF282654,1,1b,217-321,
AF282655,1,1b,217-321,
AF282656,1,1b,217-321,
AF282657,1,1b,217-321,
AF282658,1,1b,217-321,
AF282659,1,1b,217-321,
AF282660,1,1b,217-321,
AF282661,1,1b,217-321,
AF282662,1,1b,217-321,
AF282663,1,1b,217-321,
AF282664,1,1b,217-321,
AF282665,1,1b,217-321,
AF282666,1,1b,217-321,
AF282667,1,1b,217-321,
AF282668,1,1b,217-321,
AF282669,1,1a,217-321,
AF282670,1,1a,217-321,
AF282671,1,1a,217-321,
AF282672,1,1a,217-321,
AF282673,1,1a,217-321,
AF282674,1,1a,217-321,
AF290978,1,1a,150-321,Yes
AF308573,4,4a,232-321,
AF308574,4,4d,232-321,
AF308575,4,4d,232-321,
AF313916,1,1b,150-321,Yes
AF320787,,,,
AF320788,,,,
AF320789,,,,
AF320790,,,,
AF320791,,,,
AF320792,,,,
AF320793,,,,
AF320794,,,,
AF320795,,,,
AF320796,,,,
AF320797,,,,
AF320798,,,,
AF320799,,,,
AF320800,,,,
AF320801,,,,
AF320802,,,,
AF320803,,,,
AF320804,,,,
AF320805,,,,
AF320806,,,,
AF320807,,,,
AF320808,,,,
AF320809,,,,
AF320810,,,,
AF320811,,,,
AF320812,,,,
AF320813,,,,
AF333324,1,1b,150-321,Yes
AF356827,1,1b,150-321,Yes
AF359350,,,,
AF359351,,,,
AF359352,,,,
AF359353,,,,
AF359354,,,,
AF359412,1,1b,150-321,Yes
AF359413,1,1b,287-321,
AF359414,1,1b,,
AF369214,,,,
AF369215,,,,
AF369216,,,,
AF369217,,,,
AF369218,,,,
AF369219,,,,
AF369220,,,,
AF369221,,,,
AF369222,,,,
AF369223,,,,
AF369224,,,,
AF369225,,,,
AF369226,,,,
AF369227,,,,
AF369228,,,,
AF369229,,,,
AF369230,,,,
AF369231,,,,
AF369232,,,,
AF369233,,,,
AF369234,,,,
AF369235,,,,
AF369236,,,,
AF369237,,,,
AF369238,,,,
AF369239,,,,
AF369240,,,,
AF369241,,,,
AF369242,,,,
AF369243,,,,
AF369244,,,,
AF369245,,,,
AF369246,,,,
AF369247,,,,
AF369248,,,,
AF369249,,,,
AF369250,,,,
AF369251,,,,
AF369252,,,,
AF369253,,,,
AF369254,,,,
AF369255,,,,
AF369256,,,,
AF369257,,,,
AF369258,,,,
AF369259,,,,
AF369260,,,,
AF369261,,,,
AF369262,,,,
AF369263,,,,
AF373848,1,1a,225-321,
AF373849,1,1a,225-321,
AF373850,1,1b,225-321,
AF373851,1,1a,225-321,
AF373852,1,1a,225-321,
AF373853,1,1a,225-321,
AF373854,1,1a,225-321,
AF373855,1,1a,225-321,
AF373856,1,1a,225-321,
AF373857,1,1a,225-321,
AF373858,1,1a,225-321,
AF373859,1,1a,225-321,
AF379279,,,,
AF379280,,,,
AF379281,,,,
AF379282,,,,
AF379283,,,,
AF379284,,,,
AF379285,,,,
AF379286,,,,
AF379287,,,,
AF379288,,,,
AF379289,,,,
AF379290,,,,
AF379291,,,,
AF379292,,,,
AF379293,,,,
AF379294,,,,
AF379295,,,,
AF379296,,,,
AF379297,,,,
AF379298,,,,
AF379299,,,,
AF379300,,,,
AF379301,,,,
AF379302,,,,
AF379303,,,,
AF379304,,,,
AF379305,,,,
AF379306,,,,
AF379307,,,,
AF379308,,,,
AF379309,,,,
AF379310,,,,
AF379311,,,,
AF379312,,,,
AF379313,,,,
AF379314,,,,
AF379315,,,,
AF379316,,,,
AF379317,,,,
AF379318,,,,
AF379319,,,,
AF379320,,,,
AF379321,,,,
AF379322,,,,
AF379323,,,,
AF379324,,,,
AF379325,,,,
AF379326,,,,
AF379327,,,,
AF379328,,,,
AF379329,,,,
AF379330,,,,
AF379331,,,,
AF379332,,,,
AF379333,,,,
AF379334,,,,
AF379335,,,,
AF379336,,,,
AF379337,,,,
AF379338,,,,
AF379339,,,,
AF379340,,,,
AF379341,,,,
AF379342,,,,
AF379343,,,,
AF379344,,,,
AF379345,,,,
AF379346,,,,
AF379347,,,,
AF379348,,,,
AF379349,,,,
AF379350,,,,
AF379351,,,,
AF379352,,,,
AF379353,,,,
AF379354,,,,
AF379355,,,,
AF388396,1,1b,239-321,
AF388397,1,1b,239-321,
AF388398,1,1b,239-321,
AF388399,1,1b,239-321,
AF388400,1,1b,239-321,
AF388401,1,1b,239-321,
AF388402,1,1b,239-321,
AF388403,1,1b,239-321,
AF388404,1,1b,239-321,
AF388405,1,1b,239-321,
AF388406,1,1b,239-321,
AF388407,1,1b,239-321,
AF388408,1,1b,239-321,
AF388409,1,1b,239-321,
AF388410,1,1b,239-321,
AF388411,1,1b,239-321,
AF388412,1,1b,239-321,
AF388413,1,1b,239-321,
AF388414,1,1b,239-321,
AF388415,1,1b,239-321,
AF388416,1,1b,239-321,
AF388417,1,1b,239-321,
AF388418,1,1b,239-321,
AF388419,1,1b,239-321,
AF388420,1,1b,239-321,
AF388421,1,1b,239-321,
AF388422,1,1b,239-321,
AF388423,1,1b,239-321,
AF388424,1,1b,239-321,
AF388425,1,1b,239-321,
AF388426,1,1b,239-321,
AF388427,1,1b,239-321,
AF388428,1,1b,239-321,
AF388429,1,1b,239-321,
AF388430,1,1b,239-321,
AF388431,1,1b,239-321,
AF388432,1,1a,239-321,
AF388433,1,1a,239-321,
AF388434,1,1a,239-321,
