Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
LC484052,269,5,6.320,21.509,5a,6.320,5b,21.509
LC484053,338,5,8.284,22.485,5a,8.284,5b,22.485
LC484055,339,5,8.260,22.419,5a,8.260,5b,22.419
LC484056,265,5,6.038,21.456,5a,6.038,5b,21.456
LC484057,339,5,7.965,22.124,5a,7.965,5b,22.124
LC538234,342,5,11.696,24.269,5a,11.696,5b,24.269
LC538238,340,5,8.235,21.765,5a,8.235,5b,21.765
LC538239,389,5,6.170,18.718,5a,6.170,5b,18.718
LC538240,339,5,8.850,20.065,5a,8.850,5b,20.065
LC538247,339,5,8.260,22.419,5a,8.260,5b,22.419
LC538249,339,5,8.260,22.419,5a,8.260,5b,22.419
LC538260,344,5,9.012,21.231,5a,9.012,5b,21.231
LC538261,340,5,7.353,20.882,5a,7.353,5b,20.882
KT595242,9108,5,21.772,22.640,5a,21.772,5b,22.640
KU095084,320,5,5.625,19.688,5a,5.625,5b,19.688
KU095085,320,5,5.625,19.375,5a,5.625,5b,19.375
KU095086,320,5,4.062,18.438,5a,4.062,5b,18.438
KU095087,316,5,5.063,17.949,5a,5.063,5b,17.949
KU870974,337,5,6.231,18.485,5a,6.231,5b,18.485
KU871279,9220,5,8.785,22.672,5a,8.785,5b,22.672
KU871280,9220,5,8.601,22.623,5a,8.601,5b,22.623
KU871281,9213,5,9.454,23.021,5a,9.454,5b,23.021
KU871282,9218,5,9.557,23.021,5a,9.557,5b,23.021
KX107848,2054,5,7.644,22.890,5a,7.644,5b,22.890
KX107849,2054,5,8.666,23.469,5a,8.666,5b,23.469
KX107850,2054,5,8.812,24.477,5a,8.812,5b,24.477
KX107851,2054,5,7.984,23.552,5a,7.984,5b,23.552
KX107855,2054,5,8.471,22.871,5a,8.471,5b,22.871
KX107859,2054,5,11.392,24.988,5a,11.392,5b,24.988
KX107866,1350,5,10.667,27.902,5a,10.667,5b,27.902
KX107872,1772,5,7.449,20.620,5a,7.449,5b,20.620
KX107873,1752,5,7.021,20.353,5a,7.021,5b,20.353
KX107874,1772,5,6.095,19.718,5a,6.095,5b,19.718
KX107875,1752,5,7.820,20.251,5a,7.820,5b,20.251
KX107876,1752,5,6.221,20.228,5a,6.221,5b,20.228
KX107885,1772,5,9.876,21.433,5a,9.876,5b,21.433
KX107892,1746,5,8.247,20.733,5a,8.247,5b,20.733
KX138233,1350,5,9.407,27.677,5a,9.407,5b,27.677
KX138234,1350,5,10.148,27.476,5a,10.148,5b,27.476
KX138235,1360,5,10.368,27.798,5a,10.368,5b,27.798
KX138236,1350,5,9.926,26.612,5a,9.926,5b,26.612
KX138237,1350,5,8.074,26.963,5a,8.074,5b,26.963
KX138247,1349,5,13.417,27.774,5a,13.417,5b,27.774
KX346875,687,5,5.968,21.106,5a,5.968,5b,21.106
KX346876,687,5,6.259,20.961,5a,6.259,5b,20.961
KX346877,417,5,7.674,21.583,5a,7.674,5b,21.583
KX346878,687,5,7.715,22.999,5a,7.715,5b,22.999
KX346879,687,5,7.715,21.106,5a,7.715,5b,21.106
KX346880,687,5,6.696,22.125,5a,6.696,5b,22.125
KX346881,687,5,5.968,20.961,5a,5.968,5b,20.961
KX346882,687,5,5.677,20.815,5a,5.677,5b,20.815
KX346883,687,5,6.987,21.543,5a,6.987,5b,21.543
KX346884,687,5,6.550,19.942,5a,6.550,5b,19.942
KX346885,687,5,7.569,20.815,5a,7.569,5b,20.815
OK180969,296,5,8.108,20.530,5a,8.108,5b,20.530
