Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
KJ530540,1,94.770,1a,95.087,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530541,1,94.559,1a,94.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530542,1,94.612,1a,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530543,1,93.185,1a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530544,1,93.185,1a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530545,1,93.185,1a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530546,1,92.023,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530547,1,91.918,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530548,1,78.651,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530549,1,78.651,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ530550,1,78.651,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ564294,1,77.031,1b,90.767,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ564295,1,77.691,1b,91.066,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ564296,1,78.003,1b,90.439,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ564297,1,91.393,1a,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ564298,1,90.690,1a,91.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ564299,1,89.655,1a,90.596,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ564300,1,90.767,1a,91.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ567644,6,74.947,6xb,84.884,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ567645,6,74.195,6xb,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ567646,6,74.252,6xf,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ567647,6,74.626,6xf,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ567648,6,75.753,6xf,80.032,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ567649,6,75.529,6xc,87.427,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ567650,6,75.581,6xc,87.586,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ567651,6,74.551,6xc,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ567652,6,75.225,6u,81.194,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678744,6,80.021,6a,94.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678745,6,80.074,6a,94.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678746,6,80.338,6a,95.721,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678747,6,79.915,6a,95.615,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678748,6,80.603,6a,95.721,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678749,6,80.021,6a,95.510,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678750,6,80.761,6a,95.668,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678751,6,79.915,6a,95.404,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678752,6,79.915,6a,95.668,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678753,6,80.074,6a,95.404,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678754,6,80.444,6a,95.827,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678755,6,80.338,6a,96.566,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678756,6,80.233,6a,94.453,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678757,6,79.863,6a,95.668,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678758,6,80.021,6a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678759,6,79.968,6a,95.404,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678760,6,79.863,6a,95.457,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678761,6,80.074,6a,95.721,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678762,6,80.285,6a,95.457,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678763,6,80.285,6a,96.197,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678764,6,80.233,6a,96.091,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678765,6,79.915,6a,95.825,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678766,6,80.021,6a,95.668,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678767,6,79.651,6a,93.344,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678768,6,79.545,6a,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678769,6,79.440,6a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678770,6,79.968,6a,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678771,6,80.180,6a,95.880,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678772,6,80.497,6a,93.133,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678773,6,80.603,6a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678774,6,80.444,6a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678775,6,80.655,6a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678776,6,80.074,6a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678777,6,80.391,6a,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678778,6,80.391,6a,94.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678779,6,80.127,6a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678780,6,79.863,6a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678781,6,79.915,6a,95.721,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678782,6,79.493,6a,94.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678783,6,80.338,6a,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678784,6,80.233,6a,95.615,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678785,6,79.863,6a,95.404,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678786,6,80.814,6a,93.344,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678787,6,79.915,6a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678788,6,79.704,6a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678789,6,79.704,6a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678790,6,80.761,6a,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678791,6,79.334,6a,91.812,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678792,6,80.021,6a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678793,6,80.444,6a,92.076,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678794,6,80.127,6a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678795,6,80.285,6a,93.978,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678796,6,80.180,6a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678797,6,80.391,6a,93.133,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678798,6,80.074,6a,92.974,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678799,6,79.810,6a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678800,6,80.021,6a,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678801,6,79.810,6a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678802,6,80.761,6a,93.133,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678803,6,79.810,6a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678804,6,80.127,6a,92.868,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678805,6,80.233,6a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678806,6,79.757,6a,92.710,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678807,6,79.281,6a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678808,6,80.391,6a,93.133,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678809,6,80.285,6a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678810,6,79.915,6a,94.031,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678811,6,80.708,6a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678812,6,79.704,6a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678813,6,80.338,6a,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678814,6,79.757,6a,95.298,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678815,6,80.233,6a,95.404,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678816,6,80.180,6a,95.034,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KJ678817,6,79.968,6a,95.351,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057755,4,87.500,4a,87.500,36-171,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
KM057756,4,86.914,4a,86.914,36-171,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
KM057757,1,93.792,1a,93.792,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057758,1,90.268,1a,91.946,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057759,1,89.453,1a,91.406,36-171,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
KM057760,4,78.986,4d,94.746,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057761,1,93.548,1a,94.614,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057762,4,79.933,4d,95.630,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057763,1,84.564,1a,85.738,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057764,1,94.492,1a,94.320,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057765,1,89.713,1a,90.219,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057766,4,78.179,4d,93.299,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057767,1,89.576,1a,90.636,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057768,1,91.901,1a,92.430,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057769,3,92.366,3a,91.985,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057770,3,91.107,3a,91.443,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057771,3,90.604,3a,89.933,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057772,3,93.321,3a,93.135,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057773,1,91.820,1a,91.987,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057774,4,77.331,4d,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057775,1,92.953,1a,92.953,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057776,2,81.695,2q,86.949,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057777,4,86.678,4a,86.678,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057778,4,87.263,4a,87.263,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057779,1,78.906,1b,90.058,36-171,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
KM057780,2,81.525,2q,86.271,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057781,2,79.831,2q,84.746,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057782,4,85.160,4a,85.160,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057783,4,86.610,4a,86.610,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057784,4,86.038,4a,86.038,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057785,4,86.811,4a,86.811,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM057786,1,89.816,1a,90.818,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102760,1,92.974,1a,92.552,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102761,1,91.706,1a,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102762,1,90.544,1a,90.703,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102763,1,91.072,1a,91.495,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102764,1,79.272,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102765,1,79.081,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102766,1,78.786,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102767,1,78.598,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102768,1,80.401,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102769,1,78.839,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM102770,1,79.820,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252779,6,75.238,6e,87.421,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252780,6,76.399,6e,90.491,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252781,6,75.871,6e,87.368,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252782,6,74.419,6h,91.389,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252783,6,75.211,6h,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252784,6,75.529,6h,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252785,6,75.581,6p,90.808,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252786,6,75.700,6r,95.193,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252787,6,76.536,6s,93.922,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252788,6,74.393,6u,93.502,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252789,6,85.518,6xd,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252790,6,85.148,6xd,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252791,6,84.884,6xd,88.537,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252792,6,75.502,6xe,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252793,6,76.030,6d,84.249,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252794,6,74.103,6h,80.137,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252795,6,74.459,6j,85.359,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252796,6,74.947,6c,79.989,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252797,6,74.762,6q,79.134,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252798,6,76.057,6xf,79.081,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252799,6,81.818,6xd,81.871,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM252800,6,75.000,6q,80.718,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277568,1,80.190,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277569,1,79.609,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277570,1,79.389,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277571,1,78.703,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277572,1,78.997,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277573,1,78.071,1b,88.848,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277574,1,79.001,1b,89.049,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277575,1,79.631,1b,90.328,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277576,1,79.208,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277577,1,79.070,1b,91.015,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277578,1,78.903,1b,89.910,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277579,1,78.881,1b,88.584,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277580,1,79.103,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM277581,1,79.694,1b,91.385,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504109,6,74.287,6n,82.409,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504110,6,75.079,6f,94.717,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504111,6,75.951,6c,79.777,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504112,6,76.850,6xf,80.824,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504113,6,75.634,6r,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504114,6,75.264,6q,83.148,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504115,6,73.996,6q,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504116,6,74.630,6q,93.288,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504117,6,75.634,6q,81.660,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504118,6,74.828,6xf,81.280,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504119,6,74.868,6h,84.575,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504120,6,75.581,6q,82.505,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504121,6,74.313,6q,79.039,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504122,6,75.225,6h,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504123,6,74.920,6s,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM504124,6,75.687,6c,90.069,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580608,1,91.865,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580609,1,92.076,1a,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580610,1,92.023,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580611,1,91.495,1a,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580612,1,92.182,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580613,1,91.394,1a,92.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580614,1,91.394,1a,91.869,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580615,1,95.457,1a,96.302,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580616,1,95.193,1a,95.563,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580617,1,93.661,1a,94.453,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580618,1,94.876,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580619,1,79.017,1a,78.700,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580620,1,93.605,1a,94.186,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580621,1,93.291,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580622,1,91.759,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580623,1,91.442,1a,91.495,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580624,1,95.615,1a,95.510,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580625,1,92.657,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580626,1,92.129,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580627,1,99.683,1a,99.260,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580628,1,78.986,1b,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580629,1,79.472,1b,92.230,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580630,1,79.820,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580631,1,79.070,1b,92.548,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580632,1,80.380,1b,91.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580633,1,79.873,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580634,1,78.828,1b,91.341,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580635,1,78.722,1b,92.974,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580636,1,80.285,1b,91.601,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580637,1,79.725,1b,91.231,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580638,1,79.620,1b,91.755,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580639,1,80.179,1b,91.966,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580640,1,80.337,1b,91.543,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580641,1,79.694,1b,91.596,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580642,1,79.461,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580643,1,79.715,1b,91.808,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580644,1,79.641,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580645,1,79.525,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580646,1,79.420,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580647,1,78.967,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580648,1,79.020,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580649,1,79.103,1b,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580650,1,79.145,1b,91.711,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580651,1,79.472,1b,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580652,1,79.831,1b,97.781,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580653,1,79.852,1b,91.649,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580654,1,79.789,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM580655,1,79.325,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM587614,1,91.231,1a,92.023,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KM587615,1,79.547,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
