Accession,PerGeneGenotype,PerGeneSubtype,PerGeneClosestSubtypeAlignedNT,FullSeqGenotype,FullSeqSubtype,FullSeqClosestSubtypeAlignedNT,CometPerGeneGenotype,CometPerGeneSubtype,CometFullSeqGenotype,CometFullSeqSubtype,GenBankGenotype,GenBankSubtype
KP162499,3,3a,554,3,3a,554,3,3a,3,3a,3,3a
KP162500,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162501,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162503,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162506,5,5a,575,5,5a,575,5,5a,5,5a,5,
KP162507,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162512,1,1a,572,1,1a,572,1,1a,1,1a,1,1a
KP162513,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162515,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162516,3,3a,555,3,3a,555,3,3a,3,3a,3,3a
KP162518,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162519,1,1a,562,1,1a,562,1,1a,1,1a,1,1a
KP162520,3,3a,574,3,3a,574,3,3a,3,3a,3,3a
KP162521,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162525,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162526,1,1a,575,1,1a,575,1,1a,1,1a,1,1a
KP162528,3,3a,575,3,3a,575,3,3a,3,3a,3,
KP162529,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162530,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162531,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162533,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162536,4,4d,552,4,4d,552,4,4d,4,4d,4,4d
KP162539,3,3h,575,3,3h,575,3,3h,3,3h,3,
KP162541,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162542,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162543,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162546,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162547,2,2j,575,2,2j,575,2,2j,2,2j,2,
KP162549,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162551,1,1a,572,1,1a,572,1,1a,1,1a,1,1a
KP162553,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162556,1,1b,552,1,1b,552,1,1b,1,1b,1,1b
KP162557,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162558,1,1a,575,1,1a,575,1,1a,1,1a,1,1a
KP162559,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162560,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162561,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162562,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162564,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162565,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162566,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162568,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162569,6,6e,575,6,6e,575,6,6e,6,6e,6,
KP162572,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162573,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162574,1,1a,576,1,1a,576,1,1a,1,1a,1,
KP162576,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162577,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162578,1,1a,572,1,1a,572,1,1a,1,1a,1,1a
KP162579,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162580,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162581,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162582,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162583,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162585,1,1i,576,1,1i,576,1,1b,1,1b,1,1b
KP162586,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162587,1,1a,576,1,1a,576,1,1a,1,1a,1,
KP162588,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162593,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162596,2,2i,576,2,2i,576,2,2i,2,2i,2,
KP162597,1,1a,569,1,1a,569,1,1a,1,1a,1,1a
KP162598,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162601,1,1a,572,1,1a,572,1,1a,1,1a,1,1a
KP162603,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162607,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162608,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162609,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162611,2,2f,571,2,2f,571,2,2j,2,2j,2,
KP162614,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162615,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162616,1,1a,574,1,1a,574,1,1a,1,1a,1,
KP162617,3,3a,572,3,3a,572,3,3a,3,3a,3,3a
KP162618,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162620,4,4a,575,4,4a,575,4,4a,4,4a,4,
KP162621,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162622,1,1a,582,1,1a,582,1,1a,1,1a,1,1a
KP162626,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162628,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162629,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162630,1,1a,557,1,1a,557,1,1a,1,1a,1,1a
KP162631,6,6a,560,6,6a,560,6,6a,6,6a,6,
KP162633,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162637,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162638,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162641,1,1b,576,1,1b,576,1,1b,1,1b,1,1b
KP162642,1,1a,572,1,1a,572,1,1a,1,1a,1,1a
KP162644,1,1a,572,1,1a,572,1,1a,1,1a,1,1a
KP162646,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162647,1,1a,576,1,1a,576,1,1a,1,1a,1,1b
KP162649,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162650,1,1a,574,1,1a,574,1,1a,1,1a,1,1a
KP162651,1,1a,576,1,1a,576,1,1a,1,1a,1,1a
KP162652,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162653,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162656,3,3a,554,3,3a,554,3,3a,3,3a,3,3a
KP162657,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP162658,1,1b,546,1,1b,546,1,1b,1,1b,1,1b
KP162660,3,3a,575,3,3a,575,3,3a,3,3a,3,3a
KP162664,1,1b,575,1,1b,575,1,1b,1,1b,1,1b
KP411614,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411615,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411617,1,1a,612,1,1a,612,1,1a,1,1a,,
KP411620,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411621,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411622,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411623,1,1a,1892,1,1a,1892,1,1a,1,1a,,
KP411624,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411625,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411626,1,1a,795,1,1a,795,1,1a,1,1a,,
KP411627,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411628,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411629,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411630,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411631,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411633,1,1a,1892,1,1a,1892,1,1a,1,1a,,
KP411634,1,1a,1892,1,1a,1892,1,1a,1,1a,,
KP411636,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411637,1,1a,1889,1,1a,1889,1,1a,1,1a,,
KP411638,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411639,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411640,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411641,1,1a,605,1,1a,605,1,1a,1,1a,,
KP411642,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411643,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411645,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411646,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411647,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411649,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411652,1,1a,1892,1,1a,1892,1,1a,1,1a,,
KP411655,1,1a,1725,1,1a,1725,1,1a,1,1a,,
KP411656,1,1a,594,1,1a,594,1,1a,1,1a,,
KP411657,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411658,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411659,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411663,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411665,1,1a,615,1,1a,615,1,1a,1,1a,,
KP411666,1,1a,1374,1,1a,1374,1,1a,1,1a,,
KP411667,1,1a,1892,1,1a,1892,1,1a,1,1a,,
KP411669,1,1a,816,1,1a,816,1,1a,1,1a,,
KP411670,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411671,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411673,1,1a,645,1,1a,645,1,1a,1,1a,,
KP411675,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411676,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411677,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411678,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411680,1,1a,1893,1,1a,1893,1,1a,1,1a,,
KP411682,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411685,1,1a,594,1,1a,594,1,1a,1,1a,,
KP411689,1,1a,541,1,1a,541,1,1a,1,1a,,
KP411690,1,1a,583,1,1a,583,1,1a,1,1a,,
KP411691,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411692,1,1a,583,1,1a,583,1,1a,1,1a,,
KP411693,1,1a,557,1,1a,557,1,1a,1,1a,,
KP411694,1,1a,585,1,1a,585,1,1a,1,1a,,
KP411695,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411696,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411697,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411698,1,1a,561,1,1a,561,1,1a,1,1a,,
KP411699,1,1a,594,1,1a,594,1,1a,1,1a,,
KP411700,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411703,1,1a,594,1,1a,594,1,1a,1,1a,,
KP411704,1,1a,585,1,1a,585,1,1a,1,1a,,
KP411705,1,1a,585,1,1a,585,1,1a,1,1a,,
KP411706,1,1a,594,1,1a,594,1,1a,1,1a,,
KP411707,1,1a,563,1,1a,563,1,1a,1,1a,,
KP411708,1,1a,562,1,1a,562,1,1a,1,1a,,
KP411709,1,1a,579,1,1a,579,1,1a,1,1a,,
KP411710,1,1a,572,1,1a,572,1,1a,1,1a,,
KP411714,1,1a,560,1,1a,560,1,1a,1,1a,,
KP411715,1,1a,563,1,1a,563,1,1a,1,1a,,
KP411717,1,1a,541,1,1a,541,1,1a,1,1a,,
KP411719,1,1a,562,1,1a,562,1,1a,1,1a,,
KP411720,1,1a,574,1,1a,574,1,1a,1,1a,,
KP411721,1,1a,578,1,1a,578,1,1a,1,1a,,
KP411723,1,1a,560,1,1a,560,1,1a,1,1a,,
KP411725,1,1a,530,1,1a,530,1,1a,1,1a,,
KP411727,1,1a,582,1,1a,582,1,1a,1,1a,,
KP411728,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411729,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411731,1,1a,529,1,1a,529,1,1a,1,1a,,
KP411732,1,1a,579,1,1a,579,1,1a,1,1a,,
KP411733,1,1a,551,1,1a,551,1,1a,1,1a,,
KP411736,1,1a,493,1,1a,493,1,1a,1,1a,,
KP411742,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411743,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411744,1,1a,564,1,1a,564,1,1a,1,1a,,
KP411746,1,1a,594,1,1a,594,1,1a,1,1a,,
KX621422,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621423,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621424,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621425,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621426,3,3a,1895,3,3a,8829,3,3a,3,3a,3,3a
KX621427,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621428,3,3a,1895,3,3a,8828,3,3a,3,3a,3,3a
KX621429,3,3a,1894,3,3a,8829,3,3a,3,3a,3,3a
KX621430,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621431,3,3a,1895,3,3a,8827,3,3a,3,3a,3,3a
KX621432,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621433,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621434,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621435,1,1a,1893,1,1a,8971,1,1a,1,1a,1,1a
KX621436,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621437,1,1a,1893,1,1a,8956,1,1a,1,1a,1,1a
KX621438,1,1a,1893,1,1a,8664,1,1a,1,1a,1,1a
KX621439,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621440,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621441,3,3a,1894,3,3a,8827,3,3a,3,3a,3,3a
KX621442,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621443,1,1a,1893,1,1a,8664,1,1a,1,1a,1,1a
KX621444,1,1a,1893,1,1a,9038,1,1a,1,1a,1,1a
KX621445,1,1a,1893,1,1a,8974,1,1a,1,1a,1,1a
KX621446,1,1a,1893,1,1a,8967,1,1a,1,1a,1,1a
KX621447,3,3a,1893,3,3a,8826,3,3a,3,3a,3,3a
KX621448,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621449,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621450,1,1a,1893,1,1a,8963,1,1a,1,1a,1,1a
KX621451,1,1a,1893,1,1a,8964,1,1a,1,1a,1,1a
KX621452,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621453,3,3a,1895,3,3a,8830,3,3a,3,3a,3,3a
KX621454,3,3a,1895,3,3a,8827,3,3a,3,3a,3,3a
KX621455,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621456,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621457,1,1a,1892,1,1a,8970,1,1a,1,1a,1,1a
KX621458,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621459,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621460,1,1a,1893,1,1a,8971,1,1a,1,1a,1,1a
KX621461,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621462,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621463,1,1a,1893,1,1a,8971,1,1a,1,1a,1,1a
KX621464,1,1a,1893,1,1a,8971,1,1a,1,1a,1,1a
KX621465,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621466,1,1a,1893,1,1a,8974,1,1a,1,1a,1,1a
KX621467,1,1a,1893,1,1a,8666,1,1a,1,1a,1,1a
KX621468,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621469,3,3a,1895,3,3a,8826,3,3a,3,3a,3,3a
KX621470,3,3a,1895,3,3a,8827,3,3a,3,3a,3,3a
KX621471,1,1a,1893,1,1a,8961,1,1a,1,1a,1,1a
KX621472,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621473,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621474,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621475,3,3a,1895,3,3a,8827,3,3a,3,3a,3,3a
KX621476,3,3a,1894,3,3a,8828,3,3a,3,3a,3,3a
KX621477,3,3a,1895,3,3a,8826,3,3a,3,3a,3,3a
KX621478,3,3a,1895,3,3a,8829,3,3a,3,3a,3,3a
KX621479,3,3a,1894,3,3a,8827,3,3a,3,3a,3,3a
KX621480,3,3a,1895,3,3a,8827,3,3a,3,3a,3,3a
KX621481,3,3a,1894,3,3a,8828,3,3a,3,3a,3,3a
KX621482,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621483,3,3a,1895,3,3a,8828,3,3a,3,3a,3,3a
KX621484,1,1a,1893,1,1a,8974,1,1a,1,1a,1,1a
KX621485,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621486,3,3a,1895,3,3a,8827,3,3a,3,3a,3,3a
KX621487,3,3a,1895,3,3a,8828,3,3a,3,3a,3,3a
KX621488,3,3a,1895,3,3a,8827,3,3a,3,3a,3,3a
KX621489,3,3a,1894,3,3a,8827,3,3a,3,3a,3,3a
KX621490,3,3a,1893,3,3a,8825,3,3a,3,3a,3,3a
KX621491,3,3a,1894,3,3a,8827,3,3a,3,3a,3,3a
KX621492,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621493,1,1a,1893,1,1a,6303,1,1a,1,1a,1,1a
KX621494,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621495,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621496,3,3a,1894,3,3a,8831,3,3a,3,3a,3,3a
KX621497,3,3a,1894,3,3a,8829,3,3a,3,3a,3,3a
KX621498,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621499,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621500,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621501,3,3a,1895,3,3a,8828,3,3a,3,3a,3,3a
KX621502,3,3a,1895,3,3a,8830,3,3a,3,3a,3,3a
KX621503,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621504,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621505,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621506,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621507,3,3a,1895,3,3a,8829,3,3a,3,3a,3,3a
KX621508,3,3a,1894,3,3a,8828,3,3a,3,3a,3,3a
KX621509,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621510,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621511,1,1a,1893,1,1a,8664,1,1a,1,1a,1,1a
KX621512,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621513,3,3a,1895,3,3a,8828,3,3a,3,3a,3,3a
KX621514,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621515,1,1a,1893,1,1a,8666,1,1a,1,1a,1,1a
KX621516,3,3a,1894,3,3a,8828,3,3a,3,3a,3,3a
KX621517,1,1a,1893,1,1a,8664,1,1a,1,1a,1,1a
KX621518,3,3a,1895,3,3a,8827,3,3a,3,3a,3,3a
KX621519,3,3a,1895,3,3a,8826,3,3a,3,3a,3,3a
KX621520,1,1a,1893,1,1a,8664,1,1a,1,1a,1,1a
KX621521,1,1a,1893,1,1a,8664,1,1a,1,1a,1,1a
KX621522,3,3a,1895,3,3a,8829,3,3a,3,3a,3,3a
KX621523,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621524,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621525,1,1a,1892,1,1a,8664,1,1a,1,1a,1,1a
KX621526,1,1a,1893,1,1a,8976,1,1a,1,1a,1,1a
KX621527,3,3a,1895,3,3a,8828,3,3a,3,3a,3,3a
KX621528,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621529,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621530,3,3a,1895,3,3a,8827,3,3a,3,3a,3,3a
KX621531,3,3a,1895,3,3a,8828,3,3a,3,3a,3,3a
KX621532,1,1a,1893,1,1a,8664,1,1a,1,1a,1,1a
KX621533,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621534,3,3a,1895,3,3a,8828,3,3a,3,3a,3,3a
KX621535,1,1a,1893,1,1a,8973,1,1a,1,1a,1,1a
KX621536,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621537,3,3a,1894,3,3a,8827,3,3a,3,3a,3,3a
KX621538,1,1a,1893,1,1a,8975,1,1a,1,1a,1,1a
KX621539,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621540,1,1a,1893,1,1a,8664,1,1a,1,1a,1,1a
KX621541,3,3a,1894,3,3a,8826,3,3a,3,3a,3,3a
KX621542,1,1a,1893,1,1a,8970,1,1a,1,1a,1,1a
KX621543,1,1a,1893,1,1a,8976,1,1a,1,1a,1,1a
KX621544,1,1a,1893,1,1a,8971,1,1a,1,1a,1,1a
KX621545,2,2b,1884,2,2b,9020,2,2b,2,2b,2,2b
KX621546,2,2b,1893,2,2b,9020,2,2b,2,2b,2,2b
KX621547,2,2b,1884,2,2b,9020,2,2b,2,2b,2,2b
KX621548,2,2b,1884,2,2b,9020,2,2b,2,2b,2,2b
KX621549,2,2b,1884,2,2b,9020,2,2b,2,2b,2,2b
KX621550,2,2b,1884,2,2b,9026,2,2b,2,2b,2,2b
KX621551,2,2b,1893,2,2b,9026,2,2b,2,2b,2,2b
KX621552,2,2b,1893,2,2b,9022,2,2b,2,2b,2,2b
KX621553,2,2b,1893,2,2b,9020,2,2b,2,2b,2,2b
KX621554,2,2b,1884,2,2b,9023,2,2b,2,2b,2,2b
KX621555,2,2b,1890,2,2b,9020,2,2b,2,2b,2,2b
KX621556,2,2b,1883,2,2b,9021,2,2b,2,2b,2,2b
KY083763,4,4r,537,4,4r,537,4,4r,4,4r,4,
KY120328,1,1b,1892,1,1b,9047,1,1b,1,1b,,
KY120329,6,6a,1893,6,6a,9066,6,6a,6,6a,,
KY120330,6,6n,1893,6,6n,9152,6,6n,6,6n,,
KY120331,1,1b,1892,1,1b,8995,1,1b,1,1b,,
KY120332,3,3a,1894,3,3a,8969,3,3a,3,3a,,
KY348757,1,1b,1892,1,1b,9347,1,1b,1,1b,1,
KY460556,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460557,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460558,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460559,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460560,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460561,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460562,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460563,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460564,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460565,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460566,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460567,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460568,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460569,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460570,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460571,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460572,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460573,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460574,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460575,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460576,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460577,4,4a,450,4,4a,450,4,4a,4,4a,4,4a
KY460578,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460579,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460580,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460581,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460582,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460583,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460584,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460585,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460586,4,4a,450,4,4a,450,4,4a,4,4a,4,4a
KY460587,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460588,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460590,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460591,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460592,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460593,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460594,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460595,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460596,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460598,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460599,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460600,4,4d,451,4,4d,451,4,4d,4,4d,4,4d
KY460601,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460602,4,4d,451,4,4d,451,4,4d,4,4d,4,4d
KY460603,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460605,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460606,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460607,4,4d,449,4,4d,449,4,4d,4,4d,4,4d
KY460608,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460609,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460610,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460611,4,4d,449,4,4d,449,4,4d,4,4d,4,4d
KY460612,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460613,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460614,4,4d,452,4,4d,452,4,4d,4,4d,4,4d
KY460615,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460617,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460618,4,4d,452,4,4d,452,4,4d,4,4d,4,4d
KY460619,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460620,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY460621,4,4d,450,4,4d,450,4,4d,4,4d,4,4d
KY620313,2,2a,1893,2,2a,9422,2,2a,2,2a,2,
KY620314,2,2a,1892,2,2a,9497,2,2a,2,2a,2,
KY620316,2,2a,1892,2,2a,9520,2,2a,2,2a,2,
KY620317,2,2a,1893,2,2a,9460,2,2a,2,2a,2,
KY620318,2,2a,1893,2,2a,9468,2,2a,2,2a,2,
KY620319,2,2a,1893,2,2a,9467,2,2a,2,2a,2,
KY620320,2,2a,1893,2,2a,9480,2,2a,2,2a,2,
KY620321,2,2a,1893,2,2a,9444,2,2a,2,2a,2,
KY620323,2,2a,1893,2,2a,9460,2,2a,2,2a,2,
KY620324,2,2a,1893,2,2a,9476,2,2a,2,2a,2,
KY620325,2,2a,1893,2,2a,7883,2,2a,2,2a,2,
KY620326,2,2a,1893,2,2a,9452,2,2a,2,2a,2,
KY620327,2,2a,1893,2,2a,9457,2,2a,2,2a,2,
